32  row, add v1 
500 msec interval
SS vs= 1.01  t=  210
B 1725 7485  -92   29
B 1735 7502  -92    4
push -11 -10
push out at target
B 1745 7552   81  -19
B 1755 7554   81  -30
B 1765 7474   81  -43
B 1775 7429   81  -57
B 1785 7465   81  -69
B 1795 7515   81  -84
B 1805 7138   81  -99
B 1815 7149   81 -113
B 1825 7305   81 -124
B 1835 7320   81 -129
B 1845 7267   31 -129
B 1855 7321   10 -129
B 1865 7182   10 -122
B 1875 7287   10 -108
B 1885 7148   10  -93
B 1895 7213   10  -80
B 1905 7241   10  -65
B 1915 7753   10  -50
B 1925 7795   10  -35
B 1935 7801   10  -20
pb end 
B 1945 7839    0   -4
B 1955 7839    0    9
B 1965 7840    0   20
B 1975 7842    0   28
B 1985 7842    0   34
B 1995 7843    0   37
B 2005 7845    0   38
B 2015 7845    0   38
B 2025 7845    0   38
B 2035 7846    0   38
B 2045 7845    0   38
B 2055 7845    0   38
B 2065 7845    0   38
B 2075 7882    0   35
B 2085 7882    0   32
B 2095 7882    0   28
B 2105 7882    0   26
B 2115 7882    0   24
B 2125 7883    0   21
B 2135 7882    0   19
B 2145 7883    0   16
B 2155 7847    0   14
B 2165 7883    0   12
B 2175 7883    0   10
B 2185 7883    0    8
B 2195 7882    0    5
B 2205 7883    0    3
B 2215 7885    0    1
B 2225 7885    0    0
B 2235 7883    0   -2
B 2245 7886    0   -4
B 2255 7883    0   -5
B 2265 7883    0   -5
B 2275 7885    0   -5
B 2285 7885    0   -5
B 2295 7885    0   -5
B 2305 7885    0   -5
B 2315 7885    0   -5
B 2325 7885    0   -5
B 2335 7885    0   -5
B 2345 7885    0   -5
B 2355 7885    0   -5
B 2365 7886    0   -5
B 2375 7883    0   -5
B 2385 7885    0   -5
B 2395 7885    0   -5
B 2405 7883    0   -5
B 2415 7885    0   -5
B 2425 7885    0   -5
B 2435 7885    0   -5
SSS vs= 1.02  t=  220
%P VOLT1   = 7683
%P VOLT2   = 8188
%P S2_SC   =  1.02
%P L_ANG_MAX = 220
B 2445 7885   71   -5
B 2455 7885   71   -5
B 2465 7864   71   -5
B 2475 7752   71   -5
B 2485 7741   71   -5
B 2495 7763   71   -5
B 2505 7785   71   -5
B 2515 7450   71   -5
B 2525 7600   71   -5
B 2535 7572   71   -1
B 2545 7531   71    7
B 2555 7367   71   16
B 2565 7350   71   25
B 2575 7265   71   34
B 2585 7256   71   44
B 2595 7277   71   52
B 2605 7354   71   61
B 2615 7381   58   70
B 2625 7368   44   80
B 2635 7426   30   90
B 2645 7447   30  100
B 2655 7500   30  111
*** adj PULL_V2->47 
*** dt = 55 , A = 120 , rpm = 348 
B 2665 7491   47  121
B 2675 7620   47  131
B 2685 7617   47  140
B 2695 7715   47  149
B 2705 7716   47  158
B 2715 7718   47  166
pull out 171
B 2725 7715 -101  175
B 2735 7675 -101  184
B 2745 7668 -101  192
B 2755 7639 -101  201
B 2765 7505 -101  208
B 2775 7518 -101  215
B 2785 7537 -101  222
B 2795 7336 -101  228
B 2805 7366 -101  232
B 2815 7337 -101  235
B 2825 7320 -101  235
B 2835 7252 -101  235
*** amax = 235  vhit = 93
B 2845 7296  -94  227
B 2855 7194  -94  212
B 2865 7236  -94  198
B 2875 6950  -94  181
B 2885 6977  -94  164
B 2895 7019  -94  144
B 2905 7217  -94  125
B 2915 7329  -94  104
B 2925 7324  -94   82
B 2935 7466  -94   58
B 2945 7511  -94   34
B 2955 7529  -94   10
push -10 -10
push out at target
B 2965 7544   81  -15
B 2975 7550   81  -26
B 2985 7518   81  -38
B 2995 7437   81  -52
B 3005 7488   81  -65
B 3015 7536   81  -80
B 3025 7477   81  -94
B 3035 7150   81 -109
B 3045 7090   81 -122
B 3055 7304   81 -129
B 3065 7316   48 -130
B 3075 7288    0 -130
B 3085 7328   10 -126
B 3095 7189   10 -113
B 3105 7286   10  -99
B 3115 7193   10  -86
B 3125 7603   10  -72
B 3135 7614   10  -57
B 3145 7796   10  -42
B 3155 7831   10  -27
B 3165 7835   10  -12
B 3175 7837   10    1
pb end 
B 3185 7837    0   13
B 3195 7839    0   23
B 3205 7840    0   30
B 3215 7839    0   34
B 3225 7842    0   36
B 3235 7839    0   37
B 3245 7842    0   37
B 3255 7843    0   37
B 3265 7840    0   37
B 3275 7843    0   37
B 3285 7846    0   37
B 3295 7843    0   36
B 3305 7843    0   33
B 3315 7845    0   30
B 3325 7879    0   28
B 3335 7845    0   24
B 3345 7845    0   22
B 3355 7845    0   19
B 3365 7845    0   16
B 3375 7846    0   13
B 3385 7845    0   11
B 3395 7846    0    8
B 3405 7845    0    6
B 3415 7881    0    4
B 3425 7847    0    2
B 3435 7845    0    0
B 3445 7882    0   -1
B 3455 7882    0   -3
B 3465 7881    0   -4
B 3475 7881    0   -5
B 3485 7882    0   -5
B 3495 7882    0   -6
B 3505 7882    0   -6
B 3515 7881    0   -6
B 3525 7882    0   -5
B 3535 7882    0   -5
B 3545 7881    0   -5
B 3555 7881    0   -5
B 3565 7882    0   -5
B 3575 7882    0   -5
B 3585 7882    0   -5
B 3595 7883    0   -5
B 3605 7882    0   -5
B 3615 7883    0   -5
B 3625 7883    0   -5
B 3635 7882    0   -5
B 3645 7883    0   -5
B 3655 7883    0   -5
B 3665 7882    0   -5
B 3675 7882    0   -5
SSS vs= 1.02  t=  220
%P VOLT1   = 7683
%P VOLT2   = 8181
%P S2_SC   =  1.02
%P L_ANG_MAX = 220
B 3685 7883   71   -5
B 3695 7777   71   -5
B 3705 7735   71   -5
B 3715 7749   71   -5
B 3725 7773   71   -5
B 3735 7795   71   -5
B 3745 7517   71   -5
B 3755 7593   71   -2
B 3765 7518   71    4
B 3775 7389   71   14
B 3785 7300   71   23
B 3795 7318   71   32
B 3805 7282   71   40
B 3815 7273   71   48
B 3825 7280   71   57
B 3835 7377   63   66
B 3845 7363   50   76
B 3855 7381   37   86
B 3865 7448   30   96
B 3875 7462   30  105
B 3885 7494   30  115
*** adj PULL_V2->58 
*** dt = 65 , A = 120 , rpm = 315 
B 3895 7618   58  124
B 3905 7668   58  133
B 3915 7668   58  141
B 3925 7763   58  149
B 3935 7734   58  157
B 3945 7730   58  165
pull out 172
B 3955 7724 -101  172
B 3965 7601 -101  180
B 3975 7581 -101  190
B 3985 7482 -101  199
B 3995 7439 -101  205
B 4005 7485 -101  213
B 4015 7504 -101  220
B 4025 7112 -101  226
B 4035 7084 -101  230
*** amax = 231  vhit = 95
B 4045 7321  -96  230
B 4055 7338  -96  230
B 4065 7304  -96  227
B 4075 7252  -96  215
B 4085 7096  -96  200
B 4095 7160  -96  184
B 4105 6946  -96  167
B 4115 7005  -96  148
B 4125 7042  -96  128
B 4135 7298  -96  108
B 4145 7402  -96   87
B 4155 7396  -96   63
B 4165 7469  -96   39
B 4175 7483  -96   14
push -10 -10
push out at target
B 4185 7499   81  -11
B 4195 7509   81  -24
B 4205 7525   81  -36
B 4215 7430   81  -49
B 4225 7474   81  -64
B 4235 7519   81  -78
B 4245 7566   81  -92
B 4255 7107   81 -108
B 4265 7265   81 -122
B 4275 7162   81 -132
B 4285 7332   74 -134
B 4295 7327    6 -135
B 4305 7436    0 -134
B 4315 7323   10 -125
B 4325 7205   10 -113
B 4335 7238   10 -102
B 4345 7747   10  -89
B 4355 7791   10  -77
B 4365 7795   10  -65
B 4375 7798   10  -53
B 4385 7833   10  -41
B 4395 7835   10  -30
pb end 
B 4405 7836    0  -20
B 4415 7836    0  -11
B 4425 7839    0   -4
B 4435 7842    0    1
B 4445 7839    0    5
B 4455 7840    0    8
B 4465 7840    0   10
B 4475 7876    0   11
B 4485 7878    0   11
B 4495 7842    0   12
B 4505 7842    0   12
B 4515 7845    0   12
B 4525 7842    0   12
B 4535 7842    0   12
B 4545 7843    0   12
B 4555 7842    0   12
B 4565 7842    0   12
B 4575 7843    0   12
B 4585 7843    0   11
B 4595 7843    0   11
B 4605 7843    0   10
B 4615 7843    0    8
B 4625 7843    0    7
B 4635 7842    0    6
B 4645 7843    0    4
B 4655 7845    0    4
B 4665 7843    0    2
B 4675 7843    0    2
B 4685 7843    0    1
B 4695 7845    0    0
B 4705 7845    0    0
B 4715 7845    0   -1
B 4725 7843    0   -1
B 4735 7845    0   -1
B 4745 7845    0   -1
B 4755 7843    0   -1
B 4765 7845    0   -1
B 4775 7879    0   -1
B 4785 7879    0   -1
B 4795 7845    0   -1
B 4805 7845    0   -1
B 4815 7845    0   -1
B 4825 7845    0   -1
B 4835 7845    0   -1
B 4845 7845    0   -1
B 4855 7881    0   -1
B 4865 7881    0   -1
B 4875 7882    0   -1
B 4885 7846    0   -1
B 4895 7845    0   -1
SSS vs= 1.02  t=  220
%P VOLT1   = 7623
%P VOLT2   = 8178
%P S2_SC   =  1.02
%P L_ANG_MAX = 220
B 4905 7845   71   -1
B 4915 7881   71   -1
B 4925 7881   71   -1
B 4935 7798   71   -1
B 4945 7737   71   -1
B 4955 7745   71   -1
B 4965 7767   71   -1
B 4975 7392   71   -1
B 4985 7511   71   -1
B 4995 7481   71    2
B 5005 7488   71    9
B 5015 7243   71   17
B 5025 7228   71   26
B 5036 7228   71   36
B 5046 7315   71   44
B 5056 7329   71   52
B 5066 7334   70   61
B 5076 7405   58   71
B 5086 7401   44   80
B 5096 7395   30   90
B 5106 7448   30  100
B 5117 7485   30  110
*** adj PULL_V2->58 
*** dt = 65 , A = 120 , rpm = 316 
B 5127 7473   59  120
B 5137 7692   59  128
B 5147 7700   59  136
B 5157 7731   59  144
B 5167 7725   59  152
B 5177 7725   59  160
B 5187 7683   59  168
pull out 172
B 5197 7626 -102  177
B 5207 7503 -102  187
B 5217 7432 -102  194
B 5227 7467 -102  202
B 5237 7518 -102  210
B 5247 7102 -102  216
B 5257 7385 -102  220
B 5267 7287 -102  222
B 5277 7284 -102  222
B 5287 7347 -102  222
*** amax = 222  vhit = 99
B 5297 7327 -101  210
B 5307 7198 -101  195
B 5317 6866 -101  179
B 5327 6934 -101  162
B 5337 6996 -101  144
B 5347 7210 -101  124
B 5357 7224 -101  104
B 5367 7330 -101   84
B 5377 7464 -101   61
B 5387 7467 -101   37
B 5397 7480 -101   12
push -10 -10
push out at target
B 5407 7494   81  -12
B 5417 7503   81  -25
B 5427 7480   81  -37
B 5437 7446   81  -50
B 5447 7399   81  -65
B 5457 7475   81  -78
B 5467 7381   81  -94
B 5477 7421   81 -109
B 5488 7122   81 -125
B 5498 7372   81 -135
B 5509 7321   74 -138
B 5519 7282   12 -139
B 5529 7181    0 -138
B 5539 6993   10 -129
B 5549 7124   10 -116
B 5559 7167   10 -103
B 5569 7325   10  -91
B 5579 7349   10  -77
B 5589 7785   10  -64
B 5599 7791   10  -49
B 5609 7794   10  -36
B 5619 7831   10  -22
B 5629 7832   10   -9
pb end 
B 5639 7832    0    3
B 5649 7835    0   12
B 5659 7835    0   20
B 5669 7836    0   24
B 5679 7839    0   27
B 5689 7839    0   28
B 5699 7839    0   28
B 5709 7840    0   28
B 5719 7842    0   28
B 5729 7840    0   28
B 5739 7839    0   28
B 5749 7840    0   28
B 5759 7840    0   26
B 5769 7840    0   23
B 5779 7840    0   20
B 5789 7839    0   18
B 5799 7840    0   16
B 5809 7842    0   14
B 5819 7840    0   12
B 5829 7842    0   11
B 5839 7842    0    9
B 5849 7840    0    8
B 5859 7840    0    6
B 5869 7840    0    5
B 5879 7842    0    4
B 5889 7842    0    1
B 5899 7842    0   -1
B 5909 7842    0   -2
B 5919 7840    0   -3
B 5929 7842    0   -4
B 5939 7842    0   -4
B 5949 7842    0   -4
B 5959 7840    0   -4
B 5969 7842    0   -4
B 5979 7840    0   -4
B 5989 7843    0   -4
B 5999 7843    0   -4
B 6009 7843    0   -4
B 6019 7843    0   -4
B 6029 7842    0   -4
B 6039 7842    0   -4
B 6049 7842    0   -4
B 6059 7842    0   -4
B 6069 7842    0   -4
B 6079 7843    0   -4
B 6089 7840    0   -4
B 6099 7878    0   -4
B 6109 7845    0   -4
B 6119 7842    0   -4
SSS vs= 1.02  t=  220
%P VOLT1   = 7683
%P VOLT2   = 8174
%P S2_SC   =  1.02
%P L_ANG_MAX = 220
B 6129 7879   71   -4
B 6139 7843   71   -4
B 6149 7840   71   -4
B 6159 7757   71   -4
B 6169 7698   71   -4
B 6179 7706   71   -4
B 6189 7730   71   -4
B 6199 7431   71   -4
B 6209 7431   71   -4
B 6219 7579   71   -3
B 6229 7490   71    4
B 6239 7441   71   12
B 6249 7274   71   22
B 6259 7252   71   31
B 6269 7282   71   39
B 6279 7269   71   48
B 6289 7346   71   56
B 6299 7340   65   65
B 6309 7361   52   74
B 6319 7401   39   84
B 6329 7429   30   93
B 6339 7464   30  103
B 6349 7468   30  113
*** adj PULL_V2->52 
*** dt = 60 , A = 120 , rpm = 332 
B 6359 7497   52  123
B 6369 7582   52  132
B 6379 7667   52  141
B 6389 7663   52  150
B 6399 7700   52  158
B 6409 7698   52  167
pull out 172
B 6419 7693 -101  176
B 6429 7645 -101  184
B 6439 7676 -101  194
B 6449 7537 -101  203
B 6459 7459 -101  209
B 6469 7492 -101  217
B 6479 7547 -101  224
B 6489 7134 -101  230
B 6499 7312 -101  235
B 6509 7217 -101  236
B 6519 7319 -101  236
B 6529 7345 -101  236
*** amax = 236  vhit = 92
B 6539 7324  -93  224
B 6549 7059  -93  210
B 6559 6898  -93  194
B 6569 6964  -93  178
B 6579 6986  -93  160
B 6589 7131  -93  140
B 6599 7147  -93  120
B 6609 7399  -93  100
B 6619 7432  -93   76
B 6629 7432  -93   53
B 6639 7478  -93   28
B 6649 7495  -93    2
push -12 -10
push out at target
B 6659 7506   81  -19
B 6669 7546   81  -29
B 6679 7468   81  -42
B 6689 7392   81  -56
B 6699 7495   81  -68
B 6709 7472   81  -82
B 6719 7518   81  -97
B 6729 7286   81 -111
B 6739 7315   81 -122
B 6749 7217   81 -128
B 6759 7339   40 -128
B 6769 7359   10 -128
B 6779 7485   10 -121
B 6789 7108   10 -108
B 6799 7210   10  -94
B 6809 7237   10  -82
B 6819 7675   10  -68
B 6829 7788   10  -54
B 6839 7791   10  -40
B 6849 7794   10  -26
B 6859 7831   10  -12
pb end 
B 6869 7831    0    1
B 6879 7832    0   12
B 6889 7833    0   22
B 6899 7833    0   28
B 6909 7836    0   32
B 6919 7837    0   34
B 6929 7836    0   34
B 6939 7837    0   34
B 6949 7839    0   34
B 6959 7837    0   34
B 6969 7837    0   34
B 6979 7839    0   34
B 6989 7839    0   33
B 6999 7839    0   30
B 7009 7837    0   27
B 7019 7836    0   24
B 7029 7840    0   21
B 7039 7839    0   19
B 7049 7839    0   16
B 7059 7839    0   14
B 7069 7839    0   11
B 7079 7839    0    8
B 7089 7839    0    6
B 7099 7839    0    4
B 7109 7839    0    2
B 7119 7839    0    1
B 7129 7840    0    0
B 7139 7840    0   -2
B 7149 7839    0   -3
B 7159 7840    0   -4
B 7169 7840    0   -4
B 7179 7839    0   -4
B 7189 7840    0   -4
B 7199 7840    0   -4
B 7209 7840    0   -4
B 7219 7839    0   -4
B 7229 7842    0   -4
B 7239 7840    0   -4
B 7249 7840    0   -4
B 7259 7842    0   -4
B 7269 7842    0   -4
B 7279 7842    0   -4
B 7289 7840    0   -4
B 7299 7842    0   -4
B 7309 7842    0   -4
B 7319 7842    0   -4
B 7329 7842    0   -4
B 7339 7843    0   -4
B 7349 7842    0   -4
SSS vs= 1.02  t=  215
%P VOLT1   = 7623
%P VOLT2   = 8171
%P S2_SC   =  1.02
%P L_ANG_MAX = 215
B 7359 7842   71   -4
B 7369 7843   71   -4
B 7379 7831   71   -4
B 7389 7707   71   -4
B 7399 7701   71   -4
B 7410 7720   71   -4
B 7420 7386   71   -4
B 7430 7512   71   -4
B 7441 7512   71   -4
B 7451 7567   71    1
B 7461 7455   71    9
B 7471 7414   71   18
B 7481 7271   71   28
B 7491 7227   71   36
B 7502 7260   71   45
B 7512 7277   71   54
B 7523 7381   68   63
B 7535 7361   49   74
B 7545 7387   32   84
B 7555 7456   30   94
B 7565 7434   30  104
B 7575 7462   30  113
*** adj PULL_V2->58 
*** dt = 66 , A = 114 , rpm = 315 
B 7585 7548   59  122
B 7595 7727   59  130
B 7605 7686   59  138
B 7615 7681   59  146
B 7625 7681   59  154
B 7635 7673   59  162
pull out 168
B 7645 7515 -102  171
B 7655 7607 -102  180
B 7665 7604 -102  190
B 7675 7464 -102  200
B 7685 7344 -102  207
B 7695 7390 -102  215
B 7705 7480 -102  223
B 7715 7240 -102  229
B 7725 7215 -102  234
B 7735 7248 -102  235
B 7745 7337 -102  235
*** amax = 235  vhit = 90
B 7755 7301  -91  232
B 7765 7292  -91  220
B 7775 6921  -91  206
B 7785 6977  -91  190
B 7795 6941  -91  172
B 7805 7034  -91  154
B 7815 7066  -91  134
B 7825 7221  -91  115
B 7835 7436  -91   93
B 7845 7429  -91   70
B 7855 7466  -91   46
B 7865 7480  -91   22
B 7875 7494  -91   -4
push -13 -10
push out at target
B 7885 7509   81  -21
B 7895 7536   81  -32
B 7905 7435   81  -45
B 7915 7436   81  -59
B 7925 7441   81  -72
B 7935 7486   81  -85
B 7945 7312   81 -100
B 7955 7383   81 -113
B 7965 7284   81 -124
B 7975 7268   81 -127
B 7985 7335   14 -127
B 7995 7425   10 -127
B 8005 7385   10 -118
B 8015 7163   10 -105
B 8025 7196   10  -94
B 8035 7424   10  -81
B 8045 7784   10  -68
B 8055 7788   10  -56
B 8065 7792   10  -42
B 8075 7791   10  -29
pb end 
B 8085 7792    0  -17
B 8095 7832    0   -5
B 8105 7832    0    5
B 8115 7833    0   12
B 8125 7833    0   17
B 8135 7835    0   20
B 8145 7835    0   22
B 8155 7836    0   22
B 8165 7835    0   22
B 8175 7836    0   22
B 8185 7836    0   22
B 8195 7840    0   22
B 8205 7836    0   22
B 8215 7839    0   21
B 8225 7837    0   20
B 8235 7837    0   18
B 8245 7837    0   16
B 8255 7835    0   15
B 8265 7837    0   13
B 8275 7836    0   12
B 8285 7837    0   10
B 8295 7837    0    8
B 8305 7837    0    7
B 8315 7839    0    6
B 8325 7839    0    4
B 8335 7839    0    4
B 8345 7837    0    2
B 8355 7837    0    2
B 8365 7837    0    1
B 8375 7839    0    0
B 8385 7839    0    0
B 8395 7839    0    0
B 8405 7839    0    0
B 8415 7839    0    0
B 8425 7839    0    0
B 8435 7839    0    0
B 8445 7839    0    0
B 8455 7840    0    0
B 8465 7839    0    0
B 8475 7839    0    0
B 8485 7839    0    0
B 8495 7839    0    0
B 8505 7839    0    0
B 8515 7840    0    0
B 8525 7840    0    0
B 8535 7839    0    0
B 8545 7839    0    0
B 8555 7839    0    0
B 8565 7839    0    0
B 8575 7839    0    0
SSS vs= 1.02  t=  215
%P VOLT1   = 7623
%P VOLT2   = 8164
%P S2_SC   =  1.02
%P L_ANG_MAX = 215
B 8586 7840   71    0
B 8596 7839   71    0
B 8606 7840   71    0
B 8616 7839   71    0
B 8626 7743   71    0
B 8636 7693   71    0
B 8646 7705   71    0
B 8656 7730   71    0
B 8666 7540   71    0
B 8676 7586   71    0
B 8686 7577   71    0
B 8696 7515   71    4
B 8706 7304   71   13
B 8716 7274   71   22
B 8726 7281   71   32
B 8736 7204   71   40
B 8746 7229   71   48
B 8756 7311   71   56
B 8766 7412   63   66
B 8776 7398   47   76
B 8786 7420   32   84
B 8796 7437   30   94
B 8806 7473   30  104
B 8816 7464   30  113
*** adj PULL_V2->58 
*** dt = 66 , A = 114 , rpm = 315 
B 8826 7654   59  122
B 8836 7661   59  130
B 8846 7690   59  138
B 8856 7718   59  146
B 8866 7720   59  153
B 8876 7711   59  161
pull out 168
B 8886 7587 -102  170
B 8896 7570 -102  179
B 8906 7601 -102  188
B 8916 7437 -102  198
B 8926 7416 -102  206
B 8936 7423 -102  214
B 8946 7089 -102  222
B 8956 7132 -102  228
B 8966 7189 -102  232
B 8976 7359 -102  234
B 8986 7269 -102  234
B 8996 7301 -102  233
*** amax = 234  vhit = 91
B 9006 7149  -92  220
B 9016 7168  -92  206
B 9026 7010  -92  191
B 9036 6936  -92  174
B 9046 6991  -92  156
B 9056 7062  -92  136
B 9066 7324  -92  117
B 9076 7324  -92   95
B 9086 7392  -92   72
B 9096 7463  -92   49
B 9106 7475  -92   24
B 9116 7492  -92    0
push -11 -10
push out at target
B 9126 7543   81  -20
B 9136 7538   81  -31
B 9146 7449   81  -44
B 9156 7427   81  -58
B 9166 7468   81  -71
B 9176 7514   81  -85
B 9186 7095   81 -100
B 9196 7105   81 -113
B 9206 7254   81 -124
B 9216 7344   81 -128
B 9226 7300   23 -128
B 9236 7323   10 -128
B 9246 7005   10 -120
B 9256 7128   10 -106
B 9266 7112   10  -92
B 9276 7208   10  -80
B 9286 7234   10  -65
B 9296 7459   10  -50
B 9306 7785   10  -36
B 9316 7788   10  -20
pb end 
B 9326 7790    0   -6
B 9336 7794    0    7
B 9346 7794    0   18
B 9356 7794    0   26
B 9366 7828    0   32
B 9376 7831    0   35
B 9386 7833    0   36
B 9396 7833    0   36
B 9406 7833    0   36
B 9416 7835    0   36
B 9426 7835    0   36
B 9436 7833    0   36
B 9446 7836    0   36
B 9456 7833    0   34
B 9466 7836    0   30
B 9476 7835    0   28
B 9486 7835    0   24
B 9496 7835    0   22
B 9506 7836    0   20
B 9516 7835    0   17
B 9526 7835    0   15
B 9536 7836    0   12
B 9546 7837    0   10
B 9556 7836    0    8
B 9566 7836    0    5
B 9576 7836    0    4
B 9586 7836    0    1
B 9596 7836    0    0
B 9606 7836    0   -2
B 9616 7837    0   -4
B 9626 7836    0   -4
B 9636 7837    0   -5
B 9646 7839    0   -6
B 9656 7837    0   -7
B 9666 7837    0   -7
B 9676 7837    0   -7
B 9686 7837    0   -7
B 9696 7836    0   -7
B 9706 7837    0   -7
B 9716 7836    0   -7
B 9726 7839    0   -7
B 9736 7837    0   -7
B 9746 7839    0   -7
B 9756 7837    0   -7
B 9766 7837    0   -7
B 9776 7837    0   -7
B 9786 7837    0   -7
B 9796 7837    0   -7
B 9806 7837    0   -6
B 9816 7839    0   -6
SSS vs= 1.02  t=  215
%P VOLT1   = 7623
%P VOLT2   = 8160
%P S2_SC   =  1.02
%P L_ANG_MAX = 215
B 9826 7837   71   -6
B 9836 7837   71   -7
B 9846 7801   71   -7
B 9856 7705   71   -7
B 9866 7698   71   -6
B 9876 7717   71   -6
B 9886 7743   71   -6
B 9896 7405   71   -6
B 9906 7618   71   -6
B 9916 7580   71   -1
B 9926 7469   71    7
B 9936 7312   71   16
B 9946 7298   71   25
B 9956 7252   71   34
B 9966 7247   71   42
B 9976 7273   71   50
B 9986 7312   71   59
B 9996 7373   60   68
B 10006 7353   44   77
B 10016 7402   30   86
B 10026 7425   30   96
B 10036 7482   30  106
*** adj PULL_V2->52 
*** dt = 59 , A = 116 , rpm = 332 
B 10046 7480   53  116
B 10056 7535   53  125
B 10066 7521   53  134
B 10076 7654   53  143
B 10086 7690   53  152
B 10096 7693   53  160
pull out 167
B 10106 7653 -102  168
B 10116 7608 -102  177
B 10126 7598 -102  186
B 10136 7536 -102  196
B 10146 7454 -102  203
B 10156 7478 -102  211
B 10166 7530 -102  218
B 10176 7081 -102  224
