fixed lcd adjustment error
B 370 656 -125  252
B 380 677 -125  255
B 390 696 -125  257
B 400 701 -125  258
B 410 676 -125  258
B 420 630 -125  257
B 430 594 -125  251
B 440 577 -125  238
B 450 588 -125  225
B 460 613 -125  210
B 470 642 -125  194
B 480 666 -125  177
B 490 682 -125  159
B 500 689 -125  139
B 510 689 -125  119
B 520 688 -125   98
B 530 690 -125   75
B 540 694 -125   51
B 550 701 -125   28
B 560 708 -125    4
push -10 -10
push out at target
B 570 715   83  -18
B 580 712   83  -29
B 590 689   83  -42
B 600 629   83  -55
B 610 633   83  -67
B 620 654   83  -82
B 630 676   83  -96
B 640 690   83 -110
B 650 667   83 -123
B 660 622   83 -130
B 670 586   50 -130
B 680 570   10 -130
B 690 567   10 -126
B 700 584   10 -114
B 710 676   10 -101
B 720 720   10  -90
B 730 742   10  -77
B 740 753   10  -64
B 750 758   10  -51
B 760 761   10  -38
B 770 763   10  -25
pb end 
% 56790-50696=6094 msec
