1x8 miss 1
2x8 first 3 too far
B 1111 7308   70   -1
B 1121 7391   70    4
B 1131 7532   70   13
B 1141 7559   70   23
B 1151 7520   70   33
B 1161 7436   70   43
B 1171 7447   70   53
B 1181 7408   66   64
B 1191 7474   53   75
B 1201 7473   40   88
B 1211 7548   30  100
B 1221 7591   30  112
B 1231 7619   30  125
*** dt = 20 , A = 133 , rpm = 414 
B 1241 7670   30  137
B 1251 7819   30  147
pull out 155
B 1261 7820 -100  159
B 1271 7861 -100  170
B 1281 7796 -100  180
B 1291 7639 -100  190
B 1301 7604 -100  199
B 1311 7657 -100  207
B 1321 7713 -100  214
B 1331 7094 -100  219
B 1341 7380 -100  221
B 1351 7264 -100  221
B 1361 7317 -100  221
*** amax = 221  vhit = 100
B 1371 7261 -100  210
B 1381 7273 -100  197
B 1391 7111 -100  182
B 1401 6970 -100  165
B 1411 7030 -100  147
B 1421 7107 -100  129
B 1431 7370 -100  109
B 1441 7371 -100   89
B 1451 7469 -100   67
B 1461 7575 -100   44
B 1471 7586 -100   20
B 1481 7606 -100   -5
push -11 -10
push out at target
B 1491 7583   80  -20
B 1501 7449   80  -31
B 1511 7461   80  -42
B 1521 7580   80  -53
B 1531 7635   80  -65
B 1541 7395   80  -76
B 1551 7443   80  -87
B 1561 7363   80  -95
B 1571 7367   56  -98
B 1581 7463   14  -97
B 1591 7612   10  -97
B 1601 7638   10  -89
B 1611 7297   10  -77
B 1621 7321   10  -68
B 1631 7509   10  -56
B 1641 7908   10  -43
B 1651 7911   10  -31
B 1661 7912   10  -18
B 1671 7915   10   -6
B 1681 7916   10    6
pb end 
B 1691 7918    0   16
B 1701 7918    0   26
B 1711 7918    0   33
B 1721 7921    0   39
B 1731 7921    0   43
B 1741 7922    0   46
B 1751 7959    0   48
B 1761 7957    0   49
B 1771 7959    0   50
B 1781 7962    0   50
B 1791 7959    0   50
B 1801 7960    0   51
B 1811 7962    0   51
B 1821 7960    0   51
B 1831 7960    0   51
B 1841 7959    0   51
B 1851 7960    0   51
B 1861 7962    0   51
B 1871 7962    0   51
B 1881 7962    0   49
B 1891 7963    0   47
B 1901 7962    0   44
B 1911 7962    0   42
B 1921 7962    0   39
B 1931 7962    0   36
B 1941 7960    0   33
B 1951 7963    0   30
B 1961 7962    0   27
B 1971 7962    0   24
B 1981 7964    0   21
B 1991 7962    0   18
B 2001 7962    0   15
B 2011 7962    0   12
B 2021 7963    0    9
B 2031 7962    0    7
B 2041 7962    0    5
B 2051 7962    0    3
B 2061 7963    0    1
B 2071 7962    0    0
B 2081 7963    0   -1
SSS vs= 1.00  t=  226
%P VOLT1   = 7860
%P VOLT2   = 8118
%P S2_SC   =  1.00
%P L_ANG_MAX = 226
B 2091 7963   70   -1
B 2101 7963   70   -1
B 2111 7860   70   -1
B 2121 7815   70   -1
B 2131 7813   70   -1
B 2141 7798   70   -1
B 2151 7370   70   -1
B 2161 7339   70    3
B 2171 7470   70   12
B 2181 7450   70   21
B 2191 7476   70   31
B 2201 7466   70   41
B 2211 7441   70   52
B 2221 7442   68   63
B 2231 7438   56   74
B 2241 7550   44   87
B 2251 7564   32   99
B 2261 7567   30  111
B 2271 7634   30  123
B 2281 7660   30  135
*** adj PULL_V2->30 
*** dt = 23 , A = 138 , rpm = 398 
B 2291 7668   30  148
B 2301 7783   30  159
pull out 164
B 2311 7787 -100  170
B 2321 7857 -100  181
B 2331 7629 -100  191
B 2341 7590 -100  200
B 2351 7631 -100  209
B 2361 7369 -100  216
B 2371 7415 -100  222
B 2381 7137 -100  227
B 2391 7379 -100  227
B 2401 7297 -100  227
*** amax = 227  vhit = 100
B 2411 7335 -100  221
B 2421 7156 -100  208
B 2431 7192 -100  193
B 2441 7045 -100  177
B 2451 7040 -100  159
B 2461 7089 -100  141
B 2471 7152 -100  122
B 2481 7443 -100  101
B 2491 7438 -100   79
B 2501 7504 -100   57
B 2511 7583 -100   33
B 2521 7599 -100    9
push -10 -10
push out at target
B 2531 7579   80  -13
B 2541 7582   80  -24
B 2551 7538   80  -37
B 2561 7484   80  -51
B 2571 7520   80  -65
B 2581 7567   80  -79
B 2591 7542   80  -94
B 2601 7226   80 -110
B 2611 7178   80 -125
B 2621 7289   80 -133
B 2631 7437   56 -135
B 2641 7401    6 -135
B 2651 7453   10 -135
B 2661 7299   10 -125
B 2671 7359   10 -113
B 2681 7278   10 -103
B 2691 7861   10  -91
B 2701 7868   10  -79
B 2711 7908   10  -66
B 2721 7908   10  -55
B 2731 7912   10  -43
pb end 
B 2741 7912    0  -32
B 2751 7913    0  -21
B 2761 7918    0  -10
B 2771 7918    0   -1
B 2781 7918    0    6
B 2791 7919    0   11
B 2801 7919    0   15
B 2811 7919    0   19
B 2821 7925    0   21
B 2831 7921    0   23
B 2841 7921    0   24
B 2851 7921    0   25
B 2861 7922    0   27
B 2871 7922    0   27
B 2881 7922    0   27
B 2891 7922    0   27
B 2901 7923    0   27
B 2911 7923    0   27
B 2921 7923    0   27
B 2931 7923    0   27
B 2941 7923    0   27
B 2951 7959    0   27
B 2961 7960    0   27
B 2971 7957    0   27
B 2981 7925    0   27
B 2991 7959    0   27
B 3001 7959    0   27
B 3011 7959    0   27
B 3021 7959    0   25
B 3031 7959    0   23
B 3041 7960    0   21
B 3051 7959    0   19
B 3061 7959    0   17
B 3071 7960    0   16
B 3081 7959    0   15
B 3091 7960    0   14
B 3101 7960    0   13
B 3111 7956    0   13
B 3121 7960    0   13
B 3131 7959    0   12
SSS vs= 1.00  t=  226
%P VOLT1   = 7860
%P VOLT2   = 8111
%P S2_SC   =  1.01
%P L_ANG_MAX = 226
B 3142 7959   70   12
B 3153 7962   70   12
B 3163 7960   70   12
B 3173 7861   70   12
B 3183 7809   70   12
B 3193 7809   70   12
B 3203 7804   70   12
B 3213 7497   70   13
B 3223 7462   70   13
B 3233 7477   70   20
B 3243 7338   70   29
B 3253 7353   70   38
B 3263 7377   70   47
B 3273 7394   70   57
B 3283 7395   63   67
B 3293 7463   53   78
B 3303 7564   41   89
B 3313 7582   30  101
B 3323 7583   30  113
B 3333 7677   30  124
*** adj PULL_V2->36 
*** dt = 29 , A = 135 , rpm = 381 
B 3343 7698   36  136
B 3353 7740   36  147
B 3363 7854   36  157
pull out 167
B 3373 7849 -100  168
B 3383 7842 -100  179
B 3393 7629 -100  187
B 3403 7594 -100  194
B 3413 7638 -100  202
B 3423 7052 -100  210
B 3433 7101 -100  215
B 3443 7297 -100  219
B 3453 7440 -100  219
B 3463 7347 -100  219
*** amax = 219  vhit = 103
B 3473 7376 -103  215
B 3483 7087 -103  203
B 3493 7116 -103  188
B 3503 7000 -103  173
B 3513 7032 -103  156
B 3523 7083 -103  139
B 3533 7219 -103  120
B 3543 7439 -103   99
B 3553 7431 -103   79
B 3563 7531 -103   57
B 3573 7538 -103   33
B 3583 7552 -103   10
push -11 -10
push out at target
B 3593 7570   80  -13
B 3603 7575   80  -23
B 3613 7537   80  -35
B 3623 7489   80  -50
B 3633 7483   80  -65
B 3643 7529   80  -79
B 3653 7472   80  -94
B 3663 7364   80 -109
B 3673 7320   80 -123
B 3683 7356   80 -133
B 3693 7438   73 -135
B 3703 7404    6 -135
B 3713 7378   10 -135
B 3723 6982   10 -126
B 3733 7122   10 -113
B 3743 7220   10 -100
B 3753 7406   10  -89
B 3763 7426   10  -75
B 3773 7861   10  -61
B 3783 7902   10  -48
B 3793 7907   10  -35
pb end 
B 3803 7907    0  -21
B 3813 7908    0   -9
B 3823 7911    0    3
B 3833 7912    0   14
B 3843 7915    0   23
B 3853 7913    0   29
B 3863 7915    0   34
B 3873 7916    0   37
B 3883 7916    0   40
B 3893 7918    0   42
B 3903 7919    0   43
B 3913 7918    0   44
B 3923 7919    0   47
B 3933 7921    0   47
B 3943 7918    0   47
B 3953 7919    0   47
B 3963 7921    0   47
B 3973 7919    0   47
B 3983 7921    0   47
B 3993 7919    0   47
B 4003 7921    0   47
B 4013 7919    0   47
B 4023 7919    0   47
B 4033 7922    0   47
B 4043 7921    0   47
B 4053 7919    0   47
B 4063 7921    0   44
B 4073 7922    0   42
B 4083 7921    0   39
B 4093 7922    0   36
B 4103 7922    0   33
B 4113 7922    0   30
B 4123 7919    0   27
B 4133 7922    0   23
B 4143 7923    0   19
B 4153 7922    0   16
B 4163 7921    0   14
B 4173 7922    0   11
B 4183 7922    0    9
B 4193 7921    0    7
B 4203 7923    0    6
SSS vs= 1.01  t=  226
%P VOLT1   = 7801
%P VOLT2   = 8104
%P S2_SC   =  1.01
%P L_ANG_MAX = 226
B 4213 7923   70    4
B 4223 7923   70    3
B 4233 7890   70    3
B 4243 7806   70    3
B 4253 7787   70    3
B 4263 7381   70    3
B 4273 7353   70    3
B 4283 7398   70    3
B 4294 7463   70   12
B 4304 7484   70   21
B 4315 7441   70   31
B 4325 7391   70   41
B 4335 7397   70   51
B 4345 7397   68   62
B 4355 7463   57   73
B 4365 7468   46   85
B 4375 7514   33   97
B 4385 7567   30  109
B 4395 7599   30  122
B 4405 7657   30  135
*** dt = 18 , A = 137 , rpm = 430 
B 4415 7808   30  145
B 4425 7813   30  156
pull out 157
B 4435 7817 -101  167
B 4445 7854 -101  178
B 4455 7628 -101  188
B 4465 7594 -101  198
B 4475 7636 -101  206
B 4485 7691 -101  213
B 4495 7056 -101  219
B 4505 7411 -101  223
B 4515 7295 -101  223
B 4525 7331 -101  223
*** amax = 223  vhit = 101
B 4535 7269 -102  217
B 4545 7257 -102  205
B 4555 7082 -102  190
B 4565 6938 -102  174
B 4575 7005 -102  157
B 4585 7089 -102  139
B 4595 7329 -102  120
B 4605 7334 -102   99
B 4615 7433 -102   79
B 4625 7569 -102   56
B 4635 7577 -102   32
B 4645 7556 -102    8
push -10 -10
push out at target
B 4655 7575   80  -14
B 4665 7576   80  -25
B 4675 7537   80  -37
B 4685 7517   80  -51
B 4695 7518   80  -66
B 4705 7529   80  -81
B 4715 7116   80  -95
B 4725 7147   80 -111
B 4735 7309   80 -125
B 4745 7462   80 -133
B 4755 7400   56 -135
B 4767 7396    6 -136
B 4777 7318    0 -135
B 4788 7257   10 -123
B 4798 7299   10 -114
B 4808 7780   10 -102
B 4818 7858   10  -90
B 4828 7864   10  -78
B 4838 7902   10  -68
B 4848 7905   10  -57
B 4858 7908   10  -47
B 4868 7909   10  -39
pb end 
B 4878 7909    0  -31
B 4888 7912    0  -25
B 4898 7913    0  -19
B 4908 7913    0  -14
B 4918 7913    0   -9
B 4928 7952    0   -5
B 4938 7916    0   -1
B 4948 7921    0    3
B 4958 7916    0    6
B 4968 7918    0    9
B 4978 7916    0   13
B 4988 7916    0   15
B 4998 7919    0   17
B 5008 7916    0   19
B 5018 7918    0   19
B 5028 7919    0   21
B 5038 7919    0   21
B 5048 7919    0   22
B 5058 7918    0   22
B 5068 7918    0   21
B 5078 7919    0   22
B 5088 7956    0   22
B 5098 7954    0   22
B 5108 7919    0   22
B 5119 7918    0   22
B 5129 7921    0   22
B 5139 7921    0   22
B 5149 7954    0   21
B 5159 7954    0   21
B 5169 7919    0   21
B 5179 7919    0   21
B 5189 7921    0   21
B 5199 7919    0   20
B 5209 7919    0   19
B 5219 7919    0   17
B 5229 7919    0   16
B 5239 7922    0   15
B 5249 7921    0   15
B 5259 7922    0   14
B 5269 7957    0   13
SSS vs= 1.01  t=  231
%P VOLT1   = 7860
%P VOLT2   = 8101
%P S2_SC   =  1.01
%P L_ANG_MAX = 231
B 5279 7956   70   13
B 5289 7921   70   13
B 5299 7805   70   13
B 5309 7764   70   13
B 5319 7754   70   13
B 5329 7517   70   13
B 5339 7484   70   14
B 5349 7459   70   15
B 5359 7462   70   23
B 5369 7482   70   32
B 5379 7370   70   41
B 5389 7388   70   50
B 5399 7392   70   59
B 5409 7390   63   69
B 5419 7456   53   80
B 5429 7458   43   91
B 5439 7554   33  103
B 5449 7548   30  115
B 5459 7585   30  127
B 5469 7615   30  139
*** adj PULL_V2->30 
*** dt = 25 , A = 141 , rpm = 398 
B 5479 7697   30  151
B 5489 7704   30  162
pull out 169
B 5499 7815 -100  173
B 5509 7852 -100  183
B 5519 7854 -100  194
B 5529 7750 -100  203
B 5539 7596 -100  211
B 5549 7601 -100  218
B 5559 7652 -100  226
B 5569 7068 -100  231
B 5579 7101 -100  236
B 5589 7410 -100  238
B 5599 7397 -100  238
B 5609 7330 -100  238
*** amax = 238  vhit = 97
B 5619 7299  -97  230
B 5629 7129  -97  217
B 5639 7175  -97  202
B 5649 6959  -97  187
B 5659 7053  -97  169
B 5669 7092  -97  151
B 5679 7326  -97  131
B 5689 7436  -97  111
B 5699 7429  -97   89
B 5709 7536  -97   67
B 5719 7545  -97   43
B 5729 7562  -97   19
B 5739 7578  -97   -7
push -10 -10
push out at target
B 5749 7590   80  -21
B 5759 7559   80  -31
B 5769 7511   80  -45
B 5779 7571   80  -57
B 5789 7617   80  -71
B 5799 7128   80  -84
B 5809 7297   80  -97
B 5819 7249   80 -109
B 5830 7429   80 -117
B 5840 7433   50 -118
B 5850 7410    0 -118
B 5860 7380   10 -115
B 5870 7249   10 -103
B 5880 7333   10  -90
B 5890 7550   10  -79
B 5900 7639   10  -65
B 5910 7648   10  -51
B 5920 7866   10  -37
B 5930 7904   10  -23
B 5940 7904   10   -9
pb end 
B 5950 7907    0    3
B 5960 7908    0   16
B 5970 7908    0   27
B 5980 7911    0   35
B 5990 7911    0   42
B 6000 7913    0   47
B 6010 7913    0   50
B 6020 7912    0   53
B 6030 7913    0   54
B 6040 7913    0   55
B 6050 7913    0   56
B 6060 7913    0   59
B 6070 7915    0   59
B 6080 7915    0   59
B 6090 7916    0   59
B 6100 7916    0   59
B 6110 7916    0   59
B 6120 7918    0   59
B 6130 7918    0   59
B 6140 7916    0   59
B 6150 7921    0   59
B 6160 7916    0   59
B 6170 7918    0   59
B 6180 7922    0   56
B 6190 7918    0   53
B 6200 7953    0   50
B 6210 7953    0   47
B 6220 7919    0   43
B 6230 7918    0   39
B 6240 7919    0   36
B 6250 7919    0   32
B 6260 7918    0   28
B 6270 7919    0   24
B 6280 7919    0   21
B 6290 7919    0   17
B 6300 7918    0   15
B 6310 7918    0   11
B 6320 7919    0    9
B 6330 7919    0    7
B 6340 7919    0    5
SSS vs= 1.01  t=  226
%P VOLT1   = 7801
%P VOLT2   = 8097
%P S2_SC   =  1.01
%P L_ANG_MAX = 226
B 6351 7919   70    3
B 6361 7919   70    2
B 6371 7912   70    1
B 6381 7782   70    0
B 6391 7758   70    0
B 6401 7751   70    0
B 6411 7692   70    0
B 6423 7468   70    0
B 6433 7449   70    4
B 6443 7456   70   13
B 6454 7383   70   23
B 6464 7415   70   33
B 6474 7329   70   43
B 6484 7404   70   53
B 6494 7397   66   64
B 6504 7463   55   75
B 6514 7497   43   87
B 6524 7549   31  100
B 6534 7612   30  112
B 6544 7645   30  124
B 6554 7656   30  136
*** adj PULL_V2->30 
*** dt = 24 , A = 137 , rpm = 398 
B 6564 7773   30  147
B 6574 7849   30  158
pull out 163
B 6584 7850 -101  169
B 6594 7853 -101  179
B 6604 7856 -101  190
B 6614 7650 -101  199
B 6624 7592 -101  206
B 6634 7626 -101  214
B 6644 7680 -101  221
B 6654 7093 -101  226
B 6664 7416 -101  230
B 6674 7326 -101  230
B 6684 7331 -101  230
*** amax = 230  vhit = 98
B 6694 7353  -99  227
B 6704 7344  -99  215
B 6714 7192  -99  201
B 6724 6929  -99  185
B 6734 6995  -99  169
B 6744 7078  -99  151
B 6754 7284  -99  132
B 6764 7294  -99  112
B 6774 7432  -99   91
B 6784 7497  -99   69
B 6794 7504  -99   45
B 6804 7552  -99   21
B 6814 7566  -99   -3
push -11 -10
push out at target
B 6824 7584   80  -19
B 6834 7562   80  -30
B 6844 7542   80  -43
B 6854 7518   80  -57
B 6864 7560   80  -71
B 6874 7357   80  -85
B 6884 7395   80  -99
B 6894 7277   80 -113
B 6904 7425   80 -123
B 6914 7349   73 -126
B 6924 7416   14 -126
B 6934 7358   10 -126
B 6944 7494   10 -117
B 6954 7345   10 -105
B 6964 7517   10  -94
B 6974 7532   10  -81
B 6984 7861   10  -69
B 6994 7866   10  -55
B 7004 7868   10  -42
B 7014 7904   10  -30
pb end 
B 7024 7907    0  -17
B 7034 7907    0   -5
B 7044 7908    0    5
B 7054 7909    0   14
B 7064 7909    0   20
B 7074 7912    0   25
B 7084 7911    0   29
B 7094 7912    0   31
B 7104 7915    0   34
B 7114 7915    0   35
B 7124 7913    0   36
B 7134 7915    0   39
B 7144 7913    0   39
B 7154 7915    0   39
B 7164 7915    0   39
B 7174 7915    0   39
B 7184 7916    0   39
B 7194 7915    0   39
B 7204 7952    0   39
B 7214 7952    0   39
B 7224 7916    0   39
B 7234 7916    0   39
B 7244 7916    0   39
B 7254 7916    0   39
B 7264 7916    0   39
B 7274 7916    0   39
B 7284 7919    0   36
B 7294 7916    0   34
B 7304 7916    0   31
B 7314 7916    0   28
B 7324 7918    0   25
B 7334 7916    0   23
B 7344 7918    0   19
B 7354 7919    0   17
B 7364 7919    0   15
B 7374 7918    0   12
B 7384 7918    0   11
B 7394 7918    0    9
B 7404 7918    0    7
B 7414 7919    0    6
SSS vs= 1.01  t=  226
%P VOLT1   = 7801
%P VOLT2   = 8094
%P S2_SC   =  1.01
%P L_ANG_MAX = 226
B 7424 7919   70    5
B 7434 7905   70    5
B 7444 7778   70    4
B 7455 7771   70    4
B 7466 7775   70    4
B 7476 7397   70    4
B 7486 7353   70    5
B 7496 7398   70   11
B 7506 7434   70   19
B 7516 7453   70   28
B 7527 7411   70   39
B 7537 7359   70   49
B 7548 7435   70   60
B 7558 7432   59   71
B 7568 7500   48   83
B 7579 7506   35   95
B 7589 7548   30  108
B 7599 7576   30  120
B 7609 7572   30  133
*** dt = 21 , A = 137 , rpm = 414 
B 7619 7588   30  145
B 7629 7735   30  156
pull out 161
B 7639 7847 -101  167
B 7649 7849 -101  178
B 7659 7628 -101  188
B 7669 7598 -101  198
B 7679 7639 -101  206
B 7689 7619 -101  214
B 7699 7125 -101  219
B 7709 7083 -101  223
B 7719 7322 -101  223
B 7729 7367 -101  223
*** amax = 223  vhit = 101
B 7739 7339 -102  217
B 7749 7158 -102  205
B 7759 6982 -102  190
B 7769 7044 -102  174
B 7779 7002 -102  157
B 7789 7123 -102  138
B 7799 7148 -102  120
B 7809 7404 -102  100
B 7819 7469 -102   79
B 7829 7465 -102   56
B 7839 7538 -102   33
B 7849 7552 -102    9
push -11 -10
push out at target
B 7859 7570   80  -14
B 7869 7569   80  -25
B 7879 7530   80  -37
B 7889 7448   80  -51
B 7899 7518   80  -66
B 7909 7529   80  -81
B 7919 7575   80  -95
B 7929 7219   80 -110
B 7939 7350   80 -125
B 7950 7248   80 -134
B 7961 7393   58 -136
B 7971 7399    5 -136
B 7981 7571   10 -136
B 7991 7319   10 -125
B 8001 7290   10 -114
B 8011 7311   10 -104
B 8021 7852   10  -93
B 8031 7860   10  -81
B 8041 7866   10  -70
B 8051 7867   10  -59
B 8061 7867   10  -49
pb end 
B 8071 7870    0  -38
B 8081 7904    0  -29
B 8091 7908    0  -21
B 8101 7911    0  -13
B 8111 7909    0   -7
B 8121 7911    0   -2
B 8131 7909    0    3
B 8141 7911    0    6
B 8151 7912    0    9
B 8161 7912    0   11
B 8171 7913    0   13
B 8181 7913    0   14
B 8191 7912    0   17
B 8201 7912    0   18
B 8211 7912    0   18
B 8221 7913    0   18
B 8231 7915    0   18
B 8241 7949    0   18
B 8251 7950    0   18
B 8261 7915    0   18
B 8271 7915    0   18
B 8281 7915    0   18
B 8291 7915    0   18
B 8301 7915    0   18
B 8311 7913    0   18
B 8321 7915    0   18
B 8331 7915    0   18
B 8341 7915    0   18
B 8351 7915    0   18
B 8361 7915    0   18
B 8371 7916    0   17
B 8381 7915    0   17
B 8391 7916    0   16
B 8401 7916    0   15
B 8411 7913    0   15
B 8421 7916    0   14
B 8431 7919    0   13
B 8441 7915    0   13
B 8451 7916    0   12
B 8461 7918    0   12
*** 8483
SSS vs= 1.01  t=  231
%P VOLT1   = 7801
%P VOLT2   = 8097
%P S2_SC   =  1.01
%P L_ANG_MAX = 231
B   0 792   70   11
B  10 7919   70   11
B  20 7919   70   11
B  30 7888   70   11
B  40 7788   70   11
B  51 7777   70   11
B  61 7771   70   12
B  72 7422   70   12
B  83 7443   70   12
B  93 7415   70   19
B 103 7392   70   27
B 113 7416   70   36
B 123 7442   70   45
B 133 7350   70   54
B 143 7390   66   65
B 153 7386   58   75
B 163 7456   48   85
B 173 7500   38   97
B 183 7541   30  108
B 193 7569   30  120
B 203 7568   30  132
*** adj PULL_V2->30 
*** dt = 25 , A = 141 , rpm = 398 
B 213 7585   30  144
B 223 7736   30  155
B 233 7847   30  165
pull out 167
B 243 7850 -101  176
B 253 7852 -101  187
B 263 7845 -101  197
B 273 7625 -101  204
B 283 7592 -101  212
B 293 7634 -101  219
B 303 7688 -101  226
B 313 7201 -101  231
B 323 7330 -101  234
B 333 7231 -101  235
B 343 7386 -101  235
*** amax = 235  vhit = 98
B 353 7380  -99  231
B 363 7373  -99  218
B 373 7049  -99  203
B 383 6935  -99  187
B 393 6998  -99  171
B 403 7118  -99  153
B 413 7359  -99  134
B 423 7367  -99  114
B 433 7469  -99   92
B 443 7538  -99   70
B 453 7542  -99   47
B 463 7554  -99   22
B 473 7576  -99   -4
push -11 -10
push out at target
B 483 7589   80  -19
B 493 7599   80  -31
B 503 7532   80  -45
B 513 7521   80  -58
B 523 7562   80  -72
B 533 7147   80  -86
B 543 7183   80 -100
B 553 7338   80 -113
B 563 7483   80 -122
B 573 7413   65 -125
B 583 7410   14 -125
B 593 7290   10 -125
B 603 7401   10 -114
B 613 7280   10 -102
B 623 7843   10  -91
B 633 7853   10  -78
B 643 7860   10  -65
B 653 7863   10  -52
B 663 7867   10  -39
B 673 7904   10  -26
B 683 7904   10  -13
pb end 
B 693 7907    0   -2
B 703 7907    0    8
B 713 7907    0   16
B 723 7909    0   23
B 733 7911    0   27
B 743 7912    0   31
B 753 7911    0   33
B 763 7911    0   35
B 773 7912    0   37
B 783 7912    0   38
B 793 7912    0   40
B 803 7913    0   40
B 813 7915    0   40
B 823 7913    0   40
B 833 7913    0   40
B 843 7912    0   40
B 853 7913    0   40
B 863 7915    0   40
B 873 7915    0   40
B 883 7912    0   40
B 893 7912    0   40
B 903 7915    0   40
B 913 7915    0   40
B 923 7952    0   40
B 933 7950    0   39
B 943 7916    0   35
B 953 7915    0   33
B 963 7916    0   31
B 973 7916    0   28
B 983 7915    0   25
B 993 7913    0   23
B 1003 7915    0   21
B 1013 7916    0   19
B 1023 7915    0   17
B 1033 7916    0   16
B 1043 7916    0   15
B 1053 7916    0   13
B 1063 7916    0   12
B 1073 7918    0   11
SSS vs= 1.01  t=  232
%P VOLT1   = 7801
%P VOLT2   = 8090
%P S2_SC   =  1.01
%P L_ANG_MAX = 232
B 1083 7916   70   10
B 1093 7916   70    9
B 1103 7916   70    7
B 1113 7831   70    7
B 1123 7774   70    7
B 1133 7772   70    7
B 1143 7771   70    7
B 1153 7427   70    7
B 1163 7492   70    7
B 1173 7462   70   12
B 1183 7432   70   21
B 1193 7345   70   30
B 1203 7372   70   39
B 1213 7322   70   49
B 1223 7433   70   59
B 1233 7429   61   70
B 1243 7462   50   81
B 1253 7500   38   93
B 1263 7534   30  104
B 1273 7560   30  117
B 1283 7599   30  129
*** dt = 26 , A = 137 , rpm = 414 
B 1293 7619   30  141
B 1303 7731   30  152
B 1313 7846   30  163
pull out 166
B 1323 7847 -101  174
B 1333 7813 -101  185
B 1343 7842 -101  195
B 1353 7622 -101  203
B 1363 7596 -101  211
B 1373 7495 -101  219
B 1383 7547 -101  226
B 1393 7131 -101  231
B 1403 7468 -101  234
B 1413 7354 -101  234
B 1423 7345 -101  234
*** amax = 234  vhit = 99
B 1433 7242 -100  229
B 1443 7237 -100  217
B 1453 7059 -100  202
B 1463 6945 -100  186
B 1473 7005 -100  169
B 1483 7085 -100  151
B 1493 7356 -100  131
B 1503 7364 -100  112
B 1513 7465 -100   91
B 1523 7531 -100   68
B 1533 7540 -100   44
B 1543 7554 -100   20
B 1553 7570 -100   -5
push -10 -10
push out at target
B 1563 7579   80  -20
B 1573 7556   80  -31
B 1583 7528   80  -45
B 1593 7520   80  -58
B 1603 7601   80  -73
B 1613 7150   80  -86
B 1623 7180   80 -101
B 1633 7337   80 -113
B 1643 7476   80 -123
B 1653 7414   73 -125
B 1663 7416    6 -125
B 1673 7276   10 -125
B 1683 7383   10 -114
B 1693 7286   10 -103
B 1703 7842   10  -92
B 1713 7852   10  -79
B 1723 7857   10  -67
B 1733 7863   10  -54
B 1743 7866   10  -42
B 1753 7867   10  -31
