10 continuous -- missed 6
B 1234 689 -125   40
B 1244 695 -125   17
B 1254 702 -125   -6
push -10 -10
push out at target
B 1264 702   83  -17
B 1274 686   83  -28
B 1284 641   83  -42
B 1294 617   83  -57
B 1304 634   83  -70
B 1314 657   83  -85
B 1324 678   83 -100
B 1334 676   83 -113
B 1344 636   83 -123
B 1354 595   76 -126
B 1364 571   15 -126
B 1374 608   10 -126
B 1384 683   10 -117
B 1394 720   10 -106
B 1404 740   10  -95
B 1414 750   10  -84
B 1424 755   10  -72
B 1434 758   10  -60
B 1444 760   10  -48
B 1454 761   10  -37
pb end 
B 1464 762   10  -25
B 1474 762   10  -15
SSS v= 7632  t=  270
SSS   24    -9     0    -7
%P VOLT1   = 7683
%P VOLT2   = 7632
%P S2_SC   =  1.05
%P L_ANG_MAX = 270
S 7632    24    -9     0
B 1485 763  125   -3
B 1495 763  125    6
B 1505 764  125   13
B 1515 759  125   18
B 1525 700  125   22
B 1535 691  125   26
B 1545 699  125   29
B 1555 710  125   33
B 1565 719  125   37
B 1575 710  125   37
B 1585 674  125   43
B 1595 633  125   49
B 1605 603  125   59
B 1616 582  103   71
B 1626 583   77   83
B 1636 600   54   94
B 1646 632   31  105
B 1656 658   31  117
B 1666 695   31  129
B 1676 716   31  141
B 1686 730   31  153
B 1696 737   31  165
B 1706 741   31  176
B 1716 743   31  186
B 1726 745   31  196
B 1736 746   31  205
pull out 207
B 1746 747 -125  214
B 1756 749 -125  224
B 1766 747 -125  233
B 1776 636 -125  240
B 1786 612 -125  244
B 1796 626 -125  250
B 1806 651 -125  256
B 1816 674 -125  260
B 1826 688 -125  263
B 1836 673 -125  265
B 1846 624 -125  264
B 1856 584 -125  264
B 1866 567 -125  254
B 1876 567 -125  241
B 1886 588 -125  227
B 1896 617 -125  212
B 1906 645 -125  196
B 1916 665 -125  178
B 1926 676 -125  160
B 1936 680 -125  137
B 1946 681 -125  121
B 1956 681 -125  100
B 1966 683 -125   77
B 1976 688 -125   54
B 1986 694 -125   31
B 1996 701 -125    7
push -10 -10
push out at target
B 2006 706   83  -11
B 2016 698   83  -21
B 2026 674   83  -34
B 2036 644   83  -48
B 2046 606   83  -64
B 2056 619   83  -77
B 2066 643   83  -94
B 2076 668   83 -110
B 2086 672   83 -125
B 2096 636   83 -137
B 2106 593   83 -141
B 2116 568   24 -141
B 2126 559   10 -141
B 2136 659   10 -135
B 2146 710   10 -123
B 2156 733   10 -113
B 2166 746   10 -102
B 2176 752   10  -90
B 2186 755   10  -78
B 2196 758   10  -66
B 2206 759   10  -55
pb end 
B 2216 760   10  -43
B 2226 760   10  -32
SSS v= 7615  t=  270
SSS   31    -9    -3   -27
%P VOLT1   = 7683
%P VOLT2   = 7615
%P S2_SC   =  1.05
%P L_ANG_MAX = 270
S 7622    31    -9    -3
B 2237 762   10  -21
B 2247 761  126  -11
B 2258 713  126   -4
B 2268 687  126    3
B 2278 690  126    9
B 2288 702  126   15
B 2298 712  126   20
B 2308 722  126   29
B 2318 724  126   32
B 2328 704  126   37
B 2338 661  126   45
B 2348 621  126   56
B 2358 595  110   68
B 2368 589   84   81
B 2378 602   57   93
B 2388 622   31  105
B 2398 650   31  117
B 2408 700   31  129
B 2418 723   31  143
B 2428 733   31  156
B 2438 738   31  168
B 2448 741   31  179
B 2458 743   31  189
B 2468 745   31  200
pull out 207
B 2478 746 -126  210
B 2488 746 -126  220
B 2498 747 -126  230
B 2508 692 -126  239
B 2518 616 -126  244
B 2528 612 -126  251
B 2538 631 -126  257
B 2548 657 -126  264
B 2558 679 -126  268
B 2568 682 -126  271
B 2578 646 -126  272
B 2588 598 -126  271
B 2598 572 -126  270
B 2608 562 -126  258
B 2618 571 -126  245
B 2628 595 -126  231
B 2638 624 -126  215
B 2648 648 -126  199
B 2658 665 -126  182
B 2668 674 -126  163
B 2678 677 -126  141
B 2688 678 -126  122
B 2698 679 -126  101
B 2708 683 -126   80
B 2718 689 -126   57
B 2728 695 -126   33
B 2738 701 -126    9
push -10 -10
push out at target
B 2748 707   84  -11
B 2758 700   84  -21
B 2768 677   84  -34
B 2778 632   84  -48
B 2788 610   84  -63
B 2798 627   84  -77
B 2808 651   84  -94
B 2818 672   84 -109
B 2828 662   84 -124
B 2838 622   84 -133
B 2848 580   67 -136
B 2858 560   15 -136
B 2868 600   10 -135
B 2878 677   10 -125
B 2888 717   10 -113
B 2898 737   10 -103
B 2908 746   10  -91
B 2918 752   10  -79
B 2928 755   10  -66
B 2938 756   10  -54
B 2948 758   10  -42
pb end 
B 2958 758   10  -31
B 2968 759   10  -19
B 2978 760   10   -9
SSS v= 7604  t=  270
SSS   34    -9    -6    -9
%P VOLT1   = 7683
%P VOLT2   = 7601
%P S2_SC   =  1.05
%P L_ANG_MAX = 270
S 7604    34    -9    -6
B 2988 761  126    0
B 2998 761  126    7
B 3008 759  126   13
B 3018 700  126   17
B 3029 690  126   23
B 3039 697  126   26
B 3049 708  126   32
B 3059 716  126   37
B 3069 706  126   39
B 3079 671  126   44
B 3090 631  126   52
B 3100 601  122   63
B 3111 586   99   74
B 3122 590   69   87
B 3132 606   44   99
B 3143 661   31  112
B 3153 688   31  123
B 3163 717   31  135
B 3173 730   31  147
B 3183 736   31  158
B 3193 739   31  169
B 3203 741   31  180
B 3213 743   31  189
B 3223 744   31  199
B 3233 745   31  209
pull out 210
B 3243 745 -126  217
B 3253 745 -126  225
B 3263 707 -126  233
B 3273 629 -126  239
B 3283 623 -126  244
B 3293 641 -126  250
B 3303 664 -126  256
B 3313 684 -126  260
B 3323 685 -126  262
B 3333 650 -126  263
B 3343 600 -126  262
B 3353 570 -126  259
B 3363 562 -126  247
B 3373 573 -126  233
B 3383 600 -126  219
B 3393 629 -126  203
B 3403 652 -126  187
B 3413 669 -126  169
B 3423 676 -126  148
B 3433 678 -126  129
B 3443 679 -126  110
B 3453 680 -126   89
B 3463 683 -126   65
B 3473 689 -126   43
B 3483 694 -126   19
B 3493 701 -126   -4
push -11 -10
push out at target
B 3503 702   84  -17
B 3513 682   84  -27
B 3523 610   84  -41
B 3533 616   84  -53
B 3543 639   84  -65
B 3553 663   84  -79
B 3563 679   84  -93
B 3573 661   84 -103
B 3583 613   76 -110
B 3593 577   50 -111
B 3603 566    0 -111
B 3613 621   10 -107
B 3623 664   10  -95
B 3633 711   10  -83
B 3643 734   10  -72
B 3653 745   10  -59
B 3663 751   10  -46
B 3673 754   10  -32
B 3683 756   10  -19
B 3693 757   10   -5
pb end 
B 3703 758   10    8
B 3713 758   10   20
B 3723 759   10   30
SSS v= 7590  t=  270
SSS   36    -9    -6    30
%P VOLT1   = 7683
%P VOLT2   = 7594
%P S2_SC   =  1.05
%P L_ANG_MAX = 270
S 7594    36    -9    -6
B 3733 760  126   37
B 3743 760  126   43
B 3753 710  126   47
B 3763 690  126   50
B 3773 693  126   52
B 3783 703  126   53
B 3793 712  126   58
B 3803 711  126   59
B 3813 681  124   61
B 3824 635  112   68
B 3834 599   91   77
B 3844 575   74   87
B 3855 575   46   99
B 3865 625   31  111
B 3875 668   31  122
B 3885 707   31  133
B 3895 725   31  143
B 3905 734   31  153
B 3915 739   31  163
B 3925 740   31  173
B 3935 741   31  182
B 3945 743   31  191
B 3955 743   31  199
B 3965 743   31  207
pull out 211
B 3975 743 -126  215
B 3985 743 -126  222
B 3995 744 -126  229
B 4005 663 -126  235
B 4015 627 -126  239
B 4025 635 -126  244
B 4035 655 -126  249
B 4045 677 -126  253
B 4055 690 -126  255
B 4065 676 -126  256
B 4075 630 -126  256
B 4085 589 -126  255
B 4095 568 -126  244
B 4105 568 -126  231
B 4115 589 -126  217
B 4125 617 -126  201
B 4135 645 -126  185
B 4145 663 -126  168
B 4155 675 -126  146
B 4165 678 -126  128
B 4175 679 -126  110
B 4185 679 -126   89
B 4195 681 -126   67
B 4205 686 -126   44
B 4215 691 -126   20
B 4225 698 -126   -3
push -10 -10
push out at target
B 4235 701   84  -16
B 4245 688   84  -27
B 4255 633   84  -40
B 4265 611   84  -54
B 4275 629   84  -67
B 4285 652   84  -81
B 4295 673   84  -95
B 4305 673   84 -109
B 4316 627   84 -119
B 4326 584   68 -121
B 4337 561    6 -121
B 4347 576   10 -119
B 4358 598   10 -107
B 4368 680   10  -93
B 4378 717   10  -83
B 4388 736   10  -70
B 4398 745   10  -56
B 4408 751   10  -43
B 4418 753   10  -29
B 4428 755   10  -16
pb end 
B 4438 756   10   -3
B 4448 757   10   10
SSS v= 7580  t=  280
SSS   37    -9    -6    12
%P VOLT1   = 7683
%P VOLT2   = 7587
%P S2_SC   =  1.05
%P L_ANG_MAX = 280
S 7587    37    -9    -6
B 4458 758  126   21
B 4468 758  126   29
B 4478 759  126   36
B 4488 727  126   40
B 4498 694  126   44
B 4508 692  126   47
B 4518 701  126   49
B 4528 710  126   53
B 4538 715  126   54
B 4548 693  126   57
B 4558 648  123   62
B 4568 612  109   69
B 4578 584   88   80
B 4588 573   68   91
B 4598 588   47  103
B 4608 613   31  113
B 4618 663   31  125
B 4628 694   31  136
B 4638 718   31  147
B 4648 730   31  158
B 4658 735   31  169
B 4668 738   31  179
B 4678 740   31  189
B 4688 741   31  199
B 4698 743   31  207
B 4708 743   31  216
pull out 221
B 4718 744 -126  224
B 4728 743 -126  231
B 4738 721 -126  239
B 4748 633 -126  245
B 4758 623 -126  249
B 4768 640 -126  255
B 4778 663 -126  261
B 4788 682 -126  264
B 4798 686 -126  267
B 4808 653 -126  267
B 4818 602 -126  267
B 4828 572 -126  263
B 4838 561 -126  252
B 4848 569 -126  239
B 4858 595 -126  225
B 4868 624 -126  209
B 4878 649 -126  193
B 4888 666 -126  175
B 4898 675 -126  156
B 4908 676 -126  134
B 4918 676 -126  116
B 4928 677 -126   95
B 4938 681 -126   73
B 4948 687 -126   49
B 4958 694 -126   26
B 4968 699 -126    3
push -11 -10
push out at target
B 4978 704   84  -13
B 4988 692   84  -24
B 4998 666   84  -37
B 5008 631   84  -52
B 5018 600   84  -67
B 5028 616   84  -81
B 5038 641   84  -98
B 5048 665   84 -114
B 5058 664   84 -129
B 5068 620   84 -139
B 5078 579   76 -143
B 5088 556   24 -143
B 5098 572   10 -143
B 5108 667   10 -135
B 5118 711   10 -123
B 5128 732   10 -113
B 5138 743   10 -101
B 5148 749   10  -89
B 5158 752   10  -77
B 5168 754   10  -65
B 5178 755   10  -53
pb end 
B 5188 756   10  -42
B 5198 756   10  -31
SSS v= 7576  t=  280
SSS   41    -9    -3   -28
%P VOLT1   = 7683
%P VOLT2   = 7576
%P S2_SC   =  1.06
%P L_ANG_MAX = 280
S 7576    41    -9    -3
B 5209 757  126  -20
B 5219 758  126  -11
B 5229 703  126   -4
B 5239 683  126    2
B 5249 687  126    9
B 5259 698  126   13
B 5269 709  126   19
B 5279 719  126   28
B 5289 720  126   32
B 5299 698  126   37
B 5309 655  126   45
B 5319 615  126   56
B 5329 590  111   68
B 5339 587   88   80
B 5349 600   66   93
B 5359 619   41  105
B 5369 653   31  117
B 5379 698   31  129
B 5389 719   31  143
B 5399 729   31  155
B 5409 734   31  167
B 5419 738   31  178
B 5429 739   31  189
B 5439 741   31  200
B 5449 742   31  209
pull out 218
B 5459 743 -126  219
B 5469 744 -126  229
B 5479 679 -126  238
B 5489 610 -126  243
B 5499 609 -126  251
B 5509 629 -126  257
B 5519 654 -126  263
B 5529 675 -126  267
B 5539 678 -126  270
B 5549 640 -126  271
B 5559 592 -126  270
B 5569 566 -126  268
B 5579 556 -126  256
B 5589 565 -126  243
B 5599 591 -126  229
B 5609 622 -126  215
B 5619 647 -126  199
B 5629 663 -126  181
B 5639 672 -126  163
B 5649 673 -126  141
B 5659 671 -126  123
B 5669 673 -126  103
B 5679 678 -126   80
B 5689 684 -126   57
B 5699 690 -126   34
B 5709 697 -126   11
B 5719 702 -126  -10
push -10 -10
push out at target
B 5729 697   84  -20
B 5739 673   84  -31
B 5749 623   84  -45
B 5759 608   84  -59
B 5769 626   84  -73
B 5779 650   84  -88
B 5789 671   84 -103
B 5799 663   84 -117
B 5809 619   84 -125
B 5819 580   59 -128
B 5829 558   15 -128
B 5839 616   10 -128
B 5849 684   10 -118
B 5859 718   10 -107
B 5869 736   10  -97
B 5879 745   10  -85
B 5889 749   10  -73
B 5899 752   10  -62
B 5909 753   10  -50
B 5919 754   10  -39
pb end 
B 5929 755   10  -27
B 5939 756   10  -16
SSS v= 7569  t=  280
SSS   44    -9    -9   -16
%P VOLT1   = 7683
%P VOLT2   = 7569
%P S2_SC   =  1.06
%P L_ANG_MAX = 280
S 7569    44    -9    -9
B 5950 756  126   -5
B 5960 757  126    4
B 5971 758  126   11
B 5981 727  126   17
B 5993 687  126   21
B 6003 687  126   25
B 6014 698  126   28
B 6024 709  126   36
B 6034 713  126   37
B 6044 696  126   39
B 6055 650  126   45
B 6065 613  126   55
B 6075 587  119   65
B 6085 577   96   77
B 6095 587   73   88
B 6105 611   52  100
B 6115 649   31  111
B 6125 678   31  122
B 6135 706   31  135
B 6145 721   31  147
B 6155 730   31  158
B 6165 734   31  169
B 6175 737   31  180
B 6185 739   31  189
B 6195 740   31  199
B 6205 741   31  209
B 6215 743   31  218
pull out 221
B 6225 743 -126  227
B 6235 743 -126  235
B 6245 743 -126  242
B 6255 656 -126  249
B 6265 622 -126  253
B 6275 629 -126  260
B 6285 650 -126  266
B 6295 672 -126  272
B 6305 685 -126  275
B 6315 671 -126  277
B 6325 623 -126  277
B 6335 583 -126  277
B 6345 560 -126  270
B 6355 558 -126  257
B 6365 575 -126  244
B 6375 603 -126  229
B 6385 631 -126  214
B 6395 653 -126  197
B 6405 667 -126  180
B 6415 673 -126  160
B 6425 674 -126  137
B 6435 674 -126  120
B 6445 677 -126   98
B 6455 682 -126   75
B 6465 688 -126   52
B 6475 694 -126   29
B 6485 701 -126    5
push -10 -10
push out at target
B 6495 704   84  -12
B 6505 694   84  -23
B 6515 666   84  -34
B 6525 615   84  -49
B 6535 611   84  -63
B 6545 631   84  -77
B 6555 655   84  -92
B 6565 672   84 -107
B 6575 653   84 -120
B 6585 609   84 -127
B 6595 572   50 -129
B 6605 554    6 -129
B 6615 596   10 -129
B 6625 633   10 -117
B 6635 691   10 -105
B 6645 723   10  -93
B 6655 738   10  -83
B 6665 745   10  -70
B 6675 749   10  -57
B 6685 752   10  -45
B 6695 753   10  -32
pb end 
B 6705 754   10  -19
B 6715 755   10   -7
SSS v= 7559  t=  280
SSS   49    -9    -6    -3
%P VOLT1   = 7683
%P VOLT2   = 7559
%P S2_SC   =  1.06
%P L_ANG_MAX = 280
S 7559    49    -9    -6
B 6725 755  127    5
B 6735 747  127   14
B 6745 682  127   22
B 6755 677  127   29
B 6765 687  127   34
B 6775 700  127   39
B 6785 709  127   43
B 6795 719  127   49
B 6805 717  127   53
B 6815 687  127   59
B 6825 638  116   67
B 6835 597   95   77
B 6845 575   72   89
B 6855 577   49  101
B 6865 613   31  113
B 6875 652   31  125
B 6885 691   31  137
B 6895 716   31  149
B 6905 729   31  161
B 6915 733   31  172
B 6925 736   31  183
B 6935 738   31  193
B 6945 739   31  203
B 6955 740   31  213
pull out 217
B 6965 741 -127  222
B 6975 741 -127  231
B 6985 741 -127  239
B 6995 637 -127  247
B 7005 613 -127  252
B 7015 626 -127  259
B 7025 648 -127  265
B 7035 671 -127  270
B 7045 682 -127  273
B 7055 661 -127  275
B 7065 609 -127  275
B 7075 574 -127  275
B 7085 559 -127  266
B 7095 559 -127  253
B 7105 578 -127  240
B 7115 607 -127  225
B 7125 634 -127  209
B 7135 655 -127  193
B 7145 667 -127  175
B 7155 672 -127  155
B 7165 672 -127  133
B 7175 673 -127  115
B 7185 676 -127   93
B 7195 681 -127   71
B 7205 688 -127   47
B 7215 694 -127   24
B 7225 700 -127    0
push -10 -10
push out at target
B 7235 702   84  -14
B 7245 688   84  -25
B 7255 661   84  -38
B 7265 607   84  -53
B 7275 614   84  -65
B 7285 637   84  -81
B 7295 660   84  -97
B 7305 672   84 -111
B 7316 640   84 -123
B 7326 592   84 -129
B 7337 561   41 -130
B 7347 550    0 -130
B 7358 548   10 -123
B 7368 604   10 -111
B 7378 681   10  -99
B 7388 716   10  -89
B 7398 734   10  -75
B 7408 743   10  -62
B 7418 747   10  -50
B 7428 750   10  -37
B 7438 752   10  -23
B 7448 753   10  -12
pb end 
B 7458 754   10    1
