adjusted threshold, kind of misaligned
B 1168 7680   77  -42
B 1178 7764   77  -53
B 1188 7817   77  -66
B 1198 7364   77  -80
B 1208 7607   77  -93
B 1218 7513   77 -101
B 1228 7673   54 -105
B 1238 7668   22 -105
B 1248 7726    9 -105
B 1258 7584    9  -96
B 1268 7521    9  -83
B 1278 7559    9  -74
B 1288 8074    9  -61
B 1298 8086    9  -47
B 1308 8090    9  -34
B 1318 8165    9  -21
B 1328 8169    9   -7
pb end 
B 1338 8166   10    5
B 1348 8169   10   16
B 1358 8169   10   25
B 1368 8169   10   32
SSS vs= 0.97  t=  216
%P VOLT1   = 8155
%P VOLT2   = 8279
%P S2_SC   =  0.98
%P L_ANG_MAX = 216
B 1378 8204   68   37
B 1388 8206   68   40
B 1399 8207   68   42
B 1409 8178   68   43
B 1419 8139   68   43
B 1429 8134   68   46
B 1439 8127   68   46
B 1449 7839   68   46
B 1459 7794   68   46
B 1469 7845   68   47
B 1480 7844   68   51
B 1492 7757   68   60
B 1502 7757   54   69
B 1512 7673   39   78
B 1522 7612   26   88
B 1532 7654   19   97
B 1542 7675   19  106
B 1552 7912   19  115
B 1562 7928   19  123
B 1572 8006   19  131
B 1582 8119   19  138
B 1592 8122   19  145
B 1602 8159   19  151
B 1612 8159   19  158
pull out 162
B 1622 8160 -117  164
B 1632 8160 -117  170
B 1642 8121 -117  175
B 1652 7920 -117  177
B 1662 7909 -117  180
B 1672 7810 -117  183
B 1682 7866 -117  185
B 1692 7436 -117  186
B 1702 7716 -117  185
B 1712 7590 -117  185
B 1722 7637 -117  182
B 1732 7530 -117  169
B 1742 7552 -117  153
B 1752 7440 -117  137
B 1762 7268 -117  119
B 1772 7325 -117  100
B 1782 7429 -117   81
B 1792 7611 -117   59
B 1802 7604 -117   37
B 1812 7671 -117   15
B 1822 7746 -117   -8
push -10 -10
push out at target
B 1832 7748   78  -18
B 1842 7710   78  -30
B 1852 7680   78  -45
B 1862 7636   78  -61
B 1872 7656   78  -77
B 1882 7470   78  -93
B 1892 7529   78 -110
B 1902 7368   78 -126
B 1912 7639   78 -140
B 1922 7549   78 -146
B 1932 7575   38 -147
B 1942 7457    0 -147
B 1952 7605    9 -141
B 1962 7520    9 -129
B 1972 7502    9 -117
B 1982 7532    9 -103
B 1992 8077    9  -89
B 2002 8117    9  -75
B 2012 8124    9  -62
B 2022 8127    9  -49
B 2032 8162    9  -38
B 2042 8165    9  -26
pb end 
B 2052 8166   10  -17
B 2062 8165   10   -9
B 2072 8166   10   -3
B 2082 8169   10    3
SSS vs= 0.98  t=  221
%P VOLT1   = 8096
%P VOLT2   = 8276
%P S2_SC   =  0.98
%P L_ANG_MAX = 221
B 2092 8169   68    7
B 2102 8165   68   11
B 2112 8178   68   15
B 2122 8145   68   18
B 2132 8141   68   23
B 2142 8127   68   25
B 2152 7865   68   28
B 2162 7796   68   32
B 2172 7815   68   37
B 2182 7828   68   43
B 2192 7828   68   51
B 2202 7809   68   59
B 2212 7738   59   69
B 2222 7762   43   78
B 2232 7671   29   88
B 2242 7693   19   99
B 2252 7726   19  109
B 2262 7728   19  119
B 2272 8031   19  129
B 2282 8039   19  137
B 2292 8083   19  145
B 2302 8154   19  153
B 2312 8151   19  161
pull out 167
B 2322 8155 -117  168
B 2332 8158 -117  175
B 2342 8156 -117  182
B 2352 7934 -117  187
B 2362 7892 -117  191
B 2372 7930 -117  196
B 2382 7984 -117  199
B 2392 7553 -117  200
B 2402 7493 -117  200
B 2412 7511 -117  200
B 2422 7583 -117  197
B 2432 7561 -117  183
B 2442 7482 -117  168
B 2452 7265 -117  151
B 2462 7337 -117  134
B 2472 7287 -117  115
B 2482 7495 -117   95
B 2492 7501 -117   75
B 2502 7603 -117   52
B 2512 7707 -117   29
B 2522 7715 -117    5
push -10 -10
push out at target
B 2532 7766   78  -13
B 2542 7749   78  -23
B 2552 7689   78  -37
B 2562 7627   78  -53
B 2572 7627   78  -69
B 2582 7683   78  -83
B 2592 7597   78 -100
B 2602 7527   78 -117
B 2612 7453   78 -130
B 2622 7535   78 -138
B 2632 7623   54 -141
B 2642 7597   14 -140
B 2652 7567    9 -139
B 2662 7273    9 -126
B 2672 7371    9 -113
B 2682 7414    9  -99
B 2692 7734    9  -86
B 2702 7751    9  -73
B 2712 8078    9  -58
B 2722 8121    9  -44
B 2732 8122    9  -30
pb end 
B 2742 8124   10  -17
B 2752 8160   10   -4
B 2762 8162   10    7
B 2772 8163   10   17
B 2782 8162   10   23
SSS vs= 0.98  t=  221
%P VOLT1   = 8096
%P VOLT2   = 8265
%P S2_SC   =  0.98
%P L_ANG_MAX = 221
B 2792 8162   68   28
B 2802 8163   68   32
B 2812 8186   68   34
B 2822 8144   68   35
B 2832 8102   68   36
B 2843 8102   68   40
B 2853 8082   68   40
B 2863 7847   68   40
B 2874 7843   68   44
B 2884 7808   68   49
B 2894 7830   68   56
B 2904 7725   63   65
B 2914 7740   49   75
B 2924 7704   36   83
B 2934 7633   22   94
B 2944 7704   19  103
B 2954 7712   19  113
B 2964 7808   19  123
B 2974 7820   19  131
B 2984 8039   19  139
B 2994 8114   19  147
B 3004 8115   19  155
B 3014 8115   19  161
pull out 163
B 3024 8152 -117  168
B 3034 8154 -117  175
B 3044 8149 -117  180
B 3054 7930 -117  185
B 3064 7896 -117  189
B 3074 7934 -117  193
B 3084 7281 -117  195
B 3094 7310 -117  196
B 3104 7437 -117  196
B 3114 7604 -117  195
B 3124 7527 -117  193
B 3134 7569 -117  179
B 3144 7414 -117  164
B 3154 7475 -117  148
B 3164 7370 -117  131
B 3174 7318 -117  112
B 3184 7349 -117   93
B 3194 7462 -117   72
B 3204 7669 -117   50
B 3214 7666 -117   27
B 3224 7710 -117    3
push -12 -10
push out at target
B 3234 7757   78  -13
B 3244 7743   78  -25
B 3254 7653   78  -39
B 3264 7666   78  -55
B 3274 7661   78  -72
B 3284 7676   78  -87
B 3294 7521   78 -104
B 3304 7556   78 -121
B 3314 7384   78 -135
B 3324 7607   78 -144
B 3335 7546   63 -145
B 3345 7597    0 -145
B 3355 7469    9 -143
B 3365 7609    9 -130
B 3375 7495    9 -118
B 3385 7487    9 -106
B 3395 7502    9  -93
B 3405 8078    9  -79
B 3415 8117    9  -66
B 3425 8121    9  -54
B 3435 8122    9  -43
pb end 
B 3445 8159   10  -32
B 3455 8160   10  -22
B 3465 8162   10  -14
B 3475 8160   10   -8
SSS vs= 0.98  t=  221
%P VOLT1   = 8096
%P VOLT2   = 8265
%P S2_SC   =  0.98
%P L_ANG_MAX = 221
B 3485 8160   68   -1
B 3495 8160   68    3
B 3506 8109   68    8
B 3517 8102   68   13
B 3527 8102   68   19
B 3537 7886   68   22
B 3547 7883   68   25
B 3557 7830   68   29
B 3567 7840   68   35
B 3577 7844   68   42
B 3587 7841   68   50
B 3597 7814   68   59
B 3608 7774   56   70
B 3619 7803   39   81
B 3629 7699   25   91
B 3639 7680   19  102
B 3649 7726   19  113
B 3659 7750   19  123
B 3669 7881   19  133
B 3679 7892   19  143
B 3689 8073   19  151
B 3699 8111   19  160
pull out 167
B 3709 8113 -117  169
B 3719 8115 -117  177
B 3729 8132 -117  184
B 3739 7914 -117  191
B 3749 7889 -117  197
B 3759 7932 -117  202
B 3769 7986 -117  206
B 3779 7358 -117  208
B 3789 7482 -117  208
B 3799 7371 -117  208
B 3809 7542 -117  205
B 3819 7528 -117  191
B 3829 7556 -117  177
B 3839 7271 -117  160
B 3849 7198 -117  143
B 3859 7248 -117  124
B 3869 7419 -117  105
B 3879 7525 -117   84
B 3889 7521 -117   62
B 3899 7665 -117   39
B 3909 7709 -117   15
B 3919 7726 -117   -8
push -11 -10
push out at target
B 3929 7729   78  -18
B 3939 7727   78  -31
B 3949 7647   78  -46
B 3959 7685   78  -61
B 3969 7700   78  -74
B 3979 7751   78  -90
B 3989 7388   78 -106
B 3999 7539   78 -119
B 4009 7433   78 -127
B 4019 7596   54 -129
B 4029 7607    6 -129
B 4039 7721    9 -129
B 4049 7574    9 -117
B 4059 7458    9 -105
B 4069 7487    9  -94
B 4079 8033    9  -81
B 4089 8111    9  -69
B 4099 8117    9  -57
B 4109 8118    9  -45
B 4119 8119    9  -33
pb end 
B 4129 8119   10  -22
B 4139 8156   10  -12
B 4149 8158   10   -4
B 4159 8160   10    3
SSS vs= 0.98  t=  221
%P VOLT1   = 8096
%P VOLT2   = 8255
%P S2_SC   =  0.98
%P L_ANG_MAX = 221
B 4170 8159   68    9
B 4180 8160   68   13
B 4190 8159   68   17
B 4200 8134   68   19
B 4210 8133   68   22
B 4220 8127   68   27
B 4230 8089   68   27
B 4240 7838   68   29
B 4250 7790   68   31
B 4260 7802   68   35
B 4271 7801   68   41
B 4282 7756   68   50
B 4292 7767   68   58
B 4302 7726   59   67
B 4312 7650   46   77
B 4322 7668   32   86
B 4332 7724   19   97
B 4342 7682   19  107
B 4352 7712   19  116
B 4362 7768   19  125
B 4372 7995   19  135
B 4382 7999   19  142
B 4392 8074   19  150
B 4402 8113   19  157
B 4412 8113   19  165
pull out 169
B 4422 8114 -117  171
B 4432 8115 -117  178
B 4442 8115 -117  183
B 4452 8050 -117  190
B 4462 7900 -117  193
B 4472 7904 -117  196
B 4482 7951 -117  199
B 4492 7361 -117  201
B 4502 7386 -117  201
B 4512 7538 -117  201
B 4522 7621 -117  201
B 4532 7558 -117  195
B 4542 7604 -117  181
B 4552 7387 -117  165
B 4562 7459 -117  148
B 4572 7388 -117  130
B 4582 7372 -117  111
B 4592 7396 -117   91
B 4602 7499 -117   69
B 4612 7669 -117   48
B 4622 7669 -117   23
B 4632 7712 -117   -1
push -10 -10
push out at target
B 4642 7760   78  -14
B 4652 7738   78  -26
B 4662 7676   78  -40
B 4672 7658   78  -55
B 4682 7686   78  -69
B 4692 7707   78  -86
B 4702 7366   78 -101
B 4712 7370   78 -117
B 4722 7495   78 -129
B 4732 7631   78 -134
B 4742 7587   30 -135
B 4752 7603    0 -135
B 4762 7456    9 -129
B 4772 7561    9 -117
B 4782 7466    9 -106
B 4792 8023    9  -93
B 4802 8033    9  -79
B 4812 8077    9  -66
B 4822 8115    9  -54
B 4832 8117    9  -42
B 4842 8118    9  -31
B 4852 8119    9  -21
pb end 
B 4862 8121   10  -13
B 4872 8158   10   -5
B 4882 8156   10    1
SSS vs= 0.98  t=  221
%P VOLT1   = 8096
%P VOLT2   = 8255
%P S2_SC   =  0.98
%P L_ANG_MAX = 221
B 4892 8158   68    6
B 4902 8158   68   10
B 4912 8158   68   14
B 4922 8123   68   16
B 4932 8100   68   20
B 4942 8093   68   24
B 4952 8071   68   25
B 4962 7837   68   28
B 4972 7806   68   31
B 4982 7764   68   36
B 4992 7786   68   43
B 5002 7752   68   50
B 5012 7778   68   58
B 5022 7768   59   67
B 5032 7652   46   77
B 5042 7666   32   86
B 5052 7684   19   96
B 5062 7680   19  106
B 5072 7713   19  116
B 5082 7805   19  126
B 5092 7994   19  135
B 5102 7999   19  142
B 5112 8072   19  150
B 5122 8111   19  158
B 5132 8111   19  165
pull out 166
B 5142 8113 -117  172
B 5152 8080 -117  178
B 5162 7873 -117  183
B 5172 7854 -117  189
B 5182 7899 -117  193
B 5192 7952 -117  195
B 5202 7337 -117  197
B 5212 7623 -117  197
B 5222 7504 -117  197
B 5232 7552 -117  193
B 5242 7465 -117  179
B 5252 7493 -117  164
B 5262 7382 -117  147
B 5272 7200 -117  130
B 5282 7248 -117  112
B 5292 7346 -117   93
B 5302 7597 -117   71
B 5312 7592 -117   49
B 5322 7664 -117   27
B 5332 7707 -117    3
push -10 -10
push out at target
B 5342 7723   78  -14
B 5352 7707   78  -26
B 5362 7690   78  -41
B 5372 7626   78  -57
B 5382 7640   78  -73
B 5392 7547   78  -87
B 5402 7601   78 -105
B 5412 7407   78 -121
B 5422 7586   78 -134
B 5432 7491   78 -142
B 5442 7546   54 -142
B 5452 7532    9 -142
B 5462 7675    9 -139
B 5472 7582    9 -127
B 5482 7422    9 -115
B 5492 7449    9 -104
B 5502 7926    9  -91
B 5512 8110    9  -78
B 5522 8113    9  -65
B 5532 8115    9  -53
B 5542 8117    9  -42
pb end 
B 5552 8113   10  -30
B 5562 8118   10  -20
B 5572 8156   10  -12
B 5582 8155   10   -4
SSS vs= 0.98  t=  221
%P VOLT1   = 8096
%P VOLT2   = 8244
%P S2_SC   =  0.98
%P L_ANG_MAX = 221
B 5592 8155   68    3
B 5602 8145   68    7
B 5612 8104   68   11
B 5622 8095   68   15
B 5632 8096   68   21
B 5642 8099   68   24
B 5652 7871   68   27
B 5662 7927   68   30
B 5672 7868   68   34
B 5682 7818   68   40
B 5692 7832   68   48
B 5702 7841   68   56
B 5712 7792   60   67
B 5722 7678   47   76
B 5732 7703   31   87
B 5742 7645   19   97
B 5752 7634   19  107
B 5762 7671   19  118
B 5772 7768   19  128
B 5782 8062   19  137
B 5792 8067   19  145
B 5802 8070   19  154
B 5812 8108   19  163
pull out 166
B 5822 8111 -117  171
B 5832 8110 -117  179
B 5842 7919 -117  186
B 5852 7861 -117  191
B 5862 7889 -117  197
B 5872 7298 -117  201
B 5882 7312 -117  203
B 5892 7331 -117  203
B 5902 7555 -117  203
B 5912 7507 -117  201
B 5922 7527 -117  188
B 5932 7307 -117  173
B 5942 7372 -117  157
B 5952 7228 -117  140
B 5962 7280 -117  122
B 5972 7308 -117  103
B 5982 7560 -117   83
B 5992 7627 -117   60
B 6002 7624 -117   37
B 6012 7669 -117   14
B 6022 7720 -117   -9
push -11 -10
push out at target
B 6032 7724   78  -21
B 6042 7729   78  -35
B 6052 7671   78  -51
B 6062 7625   78  -67
B 6072 7596   78  -82
B 6082 7579   78  -99
B 6092 7621   78 -116
B 6102 7552   78 -131
B 6112 7593   78 -142
B 6122 7520   78 -146
B 6132 7573   22 -145
B 6142 7452    9 -145
B 6152 7621    9 -137
B 6162 7420    9 -123
B 6172 7465    9 -111
B 6182 7488    9  -98
B 6192 8032    9  -85
B 6202 8108    9  -71
B 6212 8113    9  -58
B 6222 8111    9  -46
B 6232 8115    9  -33
pb end 
B 6242 8117   10  -22
B 6252 8113   10  -11
B 6262 8117   10   -2
SSS vs= 0.98  t=  221
%P VOLT1   = 8037
%P VOLT2   = 8241
%P S2_SC   =  0.99
%P L_ANG_MAX = 221
B 6273 8118   68    6
B 6283 8154   68   11
B 6293 8110   68   15
B 6303 8095   68   19
B 6313 8096   68   23
B 6323 7853   68   28
B 6333 7847   68   30
B 6343 7913   68   32
B 6353 7860   68   36
B 6363 7802   68   41
B 6373 7809   68   48
B 6383 7766   68   56
B 6393 7782   60   66
B 6403 7671   47   76
B 6413 7672   33   86
B 6423 7710   19   96
B 6433 7636   19  106
B 6443 7735   19  116
B 6453 7757   19  126
B 6463 7916   19  135
B 6473 8031   19  144
B 6483 8033   19  151
B 6493 8105   19  160
pull out 168
B 6503 8107 -118  168
B 6513 8108 -118  175
B 6523 8108 -118  182
B 6533 8110 -118  188
B 6543 7931 -118  194
B 6553 7848 -118  199
B 6563 7875 -118  203
B 6573 7924 -118  206
B 6583 7366 -118  207
B 6593 7574 -118  207
B 6603 7473 -118  208
B 6613 7623 -118  207
B 6623 7578 -118  198
B 6633 7583 -118  183
B 6643 7313 -118  167
B 6653 7273 -118  150
B 6663 7330 -118  132
B 6673 7371 -118  113
B 6683 7494 -118   93
B 6693 7494 -118   71
B 6703 7665 -118   49
B 6713 7703 -118   25
B 6723 7715 -118    1
push -10 -10
push out at target
B 6733 7729   78  -15
B 6743 7707   78  -26
B 6753 7659   78  -40
B 6763 7670   78  -55
B 6773 7676   78  -69
B 6783 7727   78  -85
B 6793 7378   78  -99
B 6803 7571   78 -114
B 6813 7472   78 -125
B 6823 7612   78 -129
B 6833 7619   22 -129
B 6843 7620    9 -129
B 6853 7473    9 -121
B 6863 7382    9 -109
B 6873 7428    9  -97
B 6883 7985    9  -85
B 6893 8031    9  -73
B 6903 8036    9  -59
B 6913 8110    9  -47
B 6923 8114    9  -34
pb end 
B 6933 8114   10  -22
B 6943 8114   10  -10
B 6953 8117   10    1
B 6963 8118   10    9
SSS vs= 0.99  t=  221
%P VOLT1   = 8037
%P VOLT2   = 8237
%P S2_SC   =  0.99
%P L_ANG_MAX = 221
B 6974 8117   69   17
B 6984 8117   69   22
B 6994 8118   69   26
B 7004 8152   69   28
B 7014 8099   69   30
B 7024 8088   69   31
B 7034 8089   69   35
B 7044 7868   69   35
B 7054 7820   69   35
B 7064 7830   69   38
B 7074 7812   69   43
B 7084 7791   69   49
B 7094 7749   69   57
B 7104 7691   61   66
B 7114 7722   48   75
B 7124 7655   34   85
B 7134 7628   19   95
B 7144 7668   19  105
B 7154 7733   19  115
B 7164 7790   19  124
B 7174 7805   19  133
B 7184 7991   19  142
B 7194 8064   19  149
B 7204 8067   19  156
B 7214 8105   19  164
pull out 169
B 7225 8107    8  171
B 7235 8107    8  178
B 7245 8108    8  183
B 7255 8110    8  190
B 7267 8117    8  196
B 7278 8117    8  200
B 7288 8118    8  203
B 7298 8155    8  207
B 7308 8156    8  209
B 7318 8155    8  210
B 7329 8155    8  211
B 7339 8155    8  211
B 7350 8155    8  211
B 7360 8158    8  211
B 7370 8156    8  211
B 7380 8158    8  211
B 7391 8158    8  211
B 7402 8156    8  211
B 7412 8158    8  211
B 7422 8156    8  211
B 7432 8159    8  210
B 7442 8158    8  209
B 7452 8159    8  207
B 7462 8158    8  206
B 7472 8158    8  205
B 7482 8158    8  203
B 7492 8159    8  202
B 7502 8159    8  201
B 7512 8158    8  199
B 7522 8159    8  197
B 7532 8159    8  195
B 7542 8158    8  194
B 7552 8158 -117  192
B 7562 8158 -117  191
B 7572 7983 -117  189
B 7582 7955 -117  187
B 7592 7982 -117  184
B 7602 7452 -117  182
B 7612 7663 -117  175
B 7622 7672 -117  171
B 7632 7827 -117  164
B 7642 7748 -117  155
B 7652 7664 -117  142
B 7662 7652 -117  126
B 7672 7590 -117  108
B 7682 7653 -117   90
B 7692 7422 -117   71
B 7702 7462 -117   50
B 7712 7481 -117   29
B 7722 7622 -117    7
push -11 -10
push out at target
B 7732 7685   78  -11
B 7742 7662   78  -21
B 7752 7637   78  -34
B 7762 7594   78  -49
B 7772 7580   78  -65
B 7782 7555   78  -79
B 7792 7510   78  -97
B 7802 7550   78 -112
B 7812 7538   78 -127
B 7822 7591   78 -137
B 7832 7530   71 -139
B 7842 7570    6 -139
B 7852 7480    9 -139
B 7862 7648    9 -129
B 7872 7438    9 -117
B 7882 7474    9 -106
B 7892 7493    9  -93
B 7902 8069    9  -81
B 7912 8074    9  -68
B 7922 8076    9  -57
B 7932 8114    9  -45
B 7942 8114    9  -34
pb end 
B 7952 8117   10  -24
B 7962 8117   10  -15
B 7972 8118   10   -8
SSS vs= 0.98  t=  226
%P VOLT1   = 8037
%P VOLT2   = 8237
%P S2_SC   =  0.99
%P L_ANG_MAX = 226
B 7982 8118   69   -2
B 7992 8154   69    3
B 8002 8109   69    7
B 8012 8092   69   10
B 8022 8089   69   13
B 8032 7881   69   19
B 8042 7877   69   21
B 8052 7869   69   24
B 8062 7882   69   28
B 8072 7823   69   34
B 8082 7794   69   42
B 8092 7759   69   50
B 8102 7781   69   59
B 8112 7671   58   69
B 8122 7662   46   79
B 8132 7679   33   90
B 8142 7635   19  100
B 8152 7663   19  111
B 8162 7699   19  121
B 8172 7833   19  132
B 8182 7988   19  142
B 8192 7994   19  150
B 8202 8104   19  159
B 8212 8105   19  168
pull out 173
B 8222 8107 -118  177
B 8232 8108 -118  185
B 8242 8108 -118  191
B 8252 7957 -118  198
B 8262 7855 -118  204
B 8272 7873 -118  209
B 8282 7918 -118  213
B 8292 7315 -118  215
B 8302 7494 -118  215
B 8312 7384 -118  215
B 8322 7529 -118  215
B 8332 7538 -118  203
B 8342 7552 -118  190
B 8352 7285 -118  174
B 8362 7210 -118  157
B 8372 7267 -118  139
B 8382 7369 -118  120
B 8392 7525 -118  100
B 8402 7524 -118   79
B 8412 7662 -118   55
B 8422 7666 -118   32
B 8432 7680 -118    7
push -10 -10
push out at target
B 8442 7734   78  -11
B 8452 7724   78  -22
B 8462 7675   78  -36
B 8472 7682   78  -51
B 8482 7672   78  -65
B 8492 7718   78  -80
B 8502 7337   78  -95
B 8512 7552   78 -110
B 8522 7463   78 -122
B 8532 7591   78 -127
B 8542 7623   31 -127
B 8552 7610    9 -127
B 8562 7515    9 -123
B 8572 7388    9 -111
B 8582 7451    9  -98
B 8592 7871    9  -87
B 8602 7992    9  -74
B 8612 8001    9  -62
B 8622 8108    9  -49
B 8632 8113    9  -37
pb end 
B 8642 8110   10  -25
B 8652 8114   10  -13
B 8662 8115   10   -1
B 8672 8114   10    8
SSS vs= 0.99  t=  226
%P VOLT1   = 8037
%P VOLT2   = 8230
%P S2_SC   =  0.99
%P L_ANG_MAX = 226
B 8683 8115   69   16
B 8693 8115   69   22
B 8703 8117   69   26
B 8713 8115   69   29
B 8723 8102   69   31
B 8733 8088   69   31
B 8743 8052   69   35
B 8753 8018   69   35
B 8763 7984   69   35
B 8773 7817   69   37
B 8783 7829   69   41
B 8793 7804   69   47
B 8803 7756   69   55
B 8813 7688   66   63
B 8823 7713   53   73
B 8833 7637   42   82
B 8843 7608   29   92
B 8853 7648   19  102
B 8863 7677   19  111
B 8873 7702   19  121
B 8883 7724   19  131
B 8893 7950   19  140
B 8903 8064   19  148
B 8913 8066   19  155
B 8923 8069   19  163
B 8933 8105   19  171
pull out 174
B 8943 8107 -118  178
B 8953 8107 -118  183
B 8963 8107 -118  189
B 8973 7938 -118  194
B 8983 7858 -118  198
B 8993 7880 -118  202
B 9003 7927 -118  204
B 9013 7333 -118  205
B 9023 7550 -118  205
B 9033 7460 -118  206
B 9043 7567 -118  205
B 9053 7627 -118  195
B 9063 7627 -118  181
B 9073 7425 -118  165
B 9083 7311 -118  148
B 9093 7368 -118  130
B 9103 7336 -118  111
B 9113 7460 -118   91
B 9123 7461 -118   69
B 9133 7633 -118   47
B 9143 7668 -118   23
B 9153 7676 -118   -1
push -11 -10
push out at target
B 9163 7726   78  -15
B 9173 7705   78  -26
B 9183 7654   78  -41
B 9193 7640   78  -56
B 9203 7679   78  -69
B 9213 7725   78  -85
B 9223 7341   78 -101
B 9233 7536   78 -115
B 9243 7442   78 -126
B 9253 7585   78 -130
B 9263 7627   22 -130
B 9273 7628    9 -130
B 9283 7508    9 -123
B 9293 7416    9 -110
B 9303 7462    9  -97
B 9313 7910    9  -86
B 9323 8028    9  -73
B 9333 8035    9  -61
B 9343 8107    9  -47
B 9353 8108    9  -34
B 9363 8111    9  -22
pb end 
B 9373 8111   10  -10
B 9383 8113   10    0
B 9393 8113   10    9
B 9403 8115   10   15
SSS vs= 0.99  t=  226
%P VOLT1   = 8037
%P VOLT2   = 8234
%P S2_SC   =  0.99
%P L_ANG_MAX = 226
B 9413 8113   69   21
B 9424 8115   69   25
B 9434 8111   69   28
B 9444 8062   69   30
B 9454 8054   69   31
B 9464 8054   69   35
B 9474 7969   69   35
B 9485 7916   69   37
B 9495 7782   69   39
B 9505 7777   69   44
B 9517 7759   69   51
B 9527 7757   69   59
B 9537 7700   59   69
B 9547 7627   48   79
B 9557 7662   36   88
B 9567 7675   22   98
B 9577 7666   19  107
B 9587 7696   19  117
B 9597 7749   19  127
B 9607 7980   19  136
B 9617 7988   19  144
B 9627 8026   19  151
B 9637 8066   19  159
B 9647 8066   19  167
pull out 170
B 9657 8108 -118  174
B 9667 8105 -118  180
B 9677 8104 -118  186
B 9687 8094 -118  191
B 9697 7886 -118  195
B 9707 7859 -118  199
B 9717 7894 -118  202
B 9727 7272 -118  205
B 9737 7304 -118  205
B 9747 7468 -118  205
B 9757 7640 -118  205
B 9767 7556 -118  203
B 9777 7593 -118  191
B 9787 7462 -118  175
B 9797 7517 -118  159
B 9807 7364 -118  142
B 9817 7316 -118  123
B 9827 7350 -118  104
B 9837 7433 -118   83
B 9847 7603 -118   62
B 9857 7598 -118   39
B 9867 7672 -118   15
B 9877 7716 -118   -9
push -11 -10
push out at target
B 9887 7731   78  -25
B 9897 7713   78  -37
B 9907 7672   78  -50
B 9917 7654   78  -64
B 9927 7730   78  -77
B 9937 7668   78  -92
B 9947 7704   78 -106
B 9957 7641   78 -119
B 9967 7619   78 -129
B 9977 7561   71 -130
B 9987 7598    0 -131
B 9997 7571    0 -130
B 10007 7683    9 -121
B 10017 7456    9 -109
B 10027 7449    9  -99
B 10037 7459    9  -86
B 10047 8066    9  -74
B 10057 8105    9  -63
B 10067 8107    9  -53
B 10077 8108    9  -43
B 10087 8111    9  -35
pb end 
B 10097 8113   10  -29
B 10107 8114   10  -22
B 10117 8113   10  -17
